"";"ID";"Habitattype";"Observer";"VagueDateBegin";"Betrouwbaarheid";"Waterpeil";"Versie";"% begroeid met opgaande vegetatie";"aandeel isoëtiden > overige groeivormen";"aantal sleutelsoorten abundant";"aantal sleutelsoorten excl. moerashertshooi";"aantal sleutelsoorten frequent";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"bedekking verzuring";"contact met 7110 of 7140_oli";"grootste vegetatievlek in m²";"kranswiervelden voor > = 50 % sleutelsoorten"
"68";"AN_MEC_002_3150_18";"3150";"Vincent Smeekens";"2018-06-06";"hoog";"Normaal";"Versie 3";NA;NA;FALSE;NA;FALSE;TRUE;TRUE;TRUE;NA;NA;FALSE;NA
"69";"AN_MOE_001_3130a_17";"3130_aom";"Vincent Smeekens";"2017-09-29";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;FALSE;TRUE;NA;FALSE;NA
"70";"AN_MOE_001_3140_17";"3140";"Vincent Smeekens";"2017-09-29";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;TRUE
"71";"AN_MOL_001_3130n_14";"3130_na";"Jo Packet & Luc Denys";"2014-09-01";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;TRUE;NA
"72";"AN_MOL_001_3140_14";"3140";"Jo Packet & Luc Denys";"2014-09-01";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;NA;NA;TRUE;TRUE
"73";"AN_MOL_001_3150_14";"3150";"Jo Packet & Luc Denys";"2014-09-01";"hoog";"Normaal";"Versie 3";NA;NA;FALSE;NA;FALSE;TRUE;TRUE;FALSE;NA;NA;FALSE;NA
"74";"AN_MOL_002_3150_14";"3150";"Jo Packet & Luc Denys";"2014-09-01";"hoog";"Normaal";"Versie 3";NA;NA;FALSE;NA;FALSE;TRUE;TRUE;FALSE;NA;NA;FALSE;NA
"75";"AN_MOL_003_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-13";"hoog";"Normaal";"Versie 3";NA;NA;NA;TRUE;NA;FALSE;FALSE;FALSE;TRUE;NA;TRUE;NA
"76";"AN_MOL_003_3140_16";"3140";"Vincent Smeekens";"2016-10-13";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;NA;NA;TRUE;TRUE
"77";"AN_MOL_003_3160_16";"3160";"Vincent Smeekens";"2016-10-13";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA;NA
"78";"AN_MOS_002_3160_18";"3160";"Vincent Smeekens";"2018-07-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"79";"AN_OLB_002_3130a_18";"3130_aom";"Vincent Smeekens";"2018-06-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;TRUE;TRUE;NA;TRUE;NA
"80";"AN_RAV_002_3130a_17";"3130_aom";"Vincent Smeekens";"2017-09-15";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;TRUE;TRUE;NA;TRUE;NA
"81";"AN_RAV_003_3130a_18";"3130_aom";"Vincent Smeekens";"2018-06-04";NA;"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;TRUE;TRUE;NA;TRUE;NA
"82";"AN_RPT_002_3130a_16";"3130_aom";"Vincent Smeekens";"2016-09-09";"hoog";NA;"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;TRUE;NA
"83";"AN_RPT_002_3130n_16";"3130_na";"Vincent Smeekens";"2016-09-09";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;TRUE;NA
"84";"AN_RPT_003_3130a_17";"3130_aom";"Vincent Smeekens";"2017-07-26";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;FALSE;TRUE;NA;FALSE;NA
"85";"AN_RPT_003_3130n_17";"3130_na";"Vincent Smeekens";"2017-07-26";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;TRUE;NA
"86";"AN_RPT_005_3140_18";"3150";"Vincent Smeekens";"2018-07-20";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;FALSE;NA;FALSE;TRUE;FALSE;FALSE;NA;NA;TRUE;NA
"87";"AN_RPT_005_3150_18";"3150";"Vincent Smeekens";"2018-07-20";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;TRUE;NA;FALSE;TRUE;FALSE;FALSE;NA;NA;TRUE;NA
"88";"AN_RVS_002_3130n_17";"3130_na";"Vincent Smeekens & Kevin Scheers";"2017-09-01";"hoog";"Normaal";"Versie 3";FALSE;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;NA;TRUE;NA
"89";"AN_SEL_002_3150_17";"3150";"Vincent Smeekens & Kevin Scheers";"2017-06-29";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;TRUE;NA;FALSE;TRUE;TRUE;TRUE;NA;NA;TRUE;NA
"90";"AN_SNE_003_3130a_16";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2016-09-28";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;TRUE;NA;TRUE;NA
"91";"AN_SNE_003_3160_16";"3160";"Vincent Smeekens & Kevin Scheers";"2016-09-28";"hoog";"Normaal";"Versie 3";NA;NA;NA;NA;TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;NA
"92";"AN_SNE_004_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;TRUE;TRUE;NA;FALSE;NA
"93";"AN_SNE_004_3160_16";"3160";"Vincent Smeekens";"2016-10-18";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"94";"AN_SNE_006_3130a_18";"3130_aom";"Vincent Smeekens & Kevin Scheers";"2018-09-14";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;FALSE;TRUE;NA;TRUE;NA
"95";"AN_SNE_008_3130a_18";"3130_aom";"Vincent Smeekens";"2018-09-17";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;FALSE;NA
"96";"AN_SPB_002_3130a_18";"3130_aom";"Jo Packet";"2018-09-24";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;TRUE;NA;FALSE;FALSE;TRUE;TRUE;NA;TRUE;NA
"97";"AN_STB_001_3150_17";"3150";"Jo Packet";"2017-08-21";"hoog";"Normaal";"Versie 3";NA;NA;TRUE;NA;FALSE;TRUE;FALSE;TRUE;NA;NA;FALSE;NA
"98";"AN_TIE_002_3130a_17";"3130_aom";"Vincent Smeekens";"2017-10-05";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;TRUE;FALSE;NA;FALSE;NA
"99";"AN_TIE_002_3160_17";"3160";"Vincent Smeekens";"2017-10-05";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"100";"AN_TIK_002_3130a_16";"3130_aom";"Vincent Smeekens";"2016-09-12";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;TRUE;NA;TRUE;NA
"101";"AN_TUR_001_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-20";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;TRUE;NA;TRUE;NA
"102";"AN_TVG_002_3110_18";"3110";"Vincent Smeekens en Kevin Scheers";"2018-07-13";"hoog";"Uitzonderlijk laag";"Versie 3";NA;TRUE;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;FALSE;NA
"103";"AN_TVG_002_3130a_18";"3130_aom";"Kevin Scheers en Vincent Smeekens";"2018-07-13";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;FALSE;NA
"104";"AN_TVG_002_3130n_18";"3130_na";"Vincent Smeekens en Kevin Scheers";"2018-07-13";"hoog";"Uitzonderlijk laag";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;FALSE;TRUE;NA;TRUE;NA
"105";"AN_TVG_003_3130a_16";"3130_aom";"Vincent Smeekens";"2016-08-25";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;TRUE;NA
"106";"AN_TVG_003_3130n_16";"3130_na";"Vincent Smeekens";"2016-08-25";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;FALSE;NA;FALSE;TRUE;NA;TRUE;NA
"107";"AN_TVG_004_3130a_16";"3130_aom";"Vincent Smeekens";"2016-10-20";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;TRUE;FALSE;TRUE;NA;TRUE;NA
"108";"AN_TVG_005_3110_18";"3110";"Kevin Scheers en Vincent Smeekens";"2018-07-10";"hoog";"Normaal";"Versie 3";NA;FALSE;NA;NA;TRUE;TRUE;NA;TRUE;TRUE;NA;FALSE;NA
"109";"AN_TVG_005_3130a_18";"3130_aom";"Kevin Scheers en Vincent Smeekens";"2018-07-10";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;TRUE;TRUE;NA;TRUE;NA
"110";"AN_TVG_005_3130n_18";"3130_na";"Kevin Scheers en Vincent Smeekens";"2018-07-10";"hoog";"Normaal";"Versie 3";TRUE;NA;NA;NA;FALSE;TRUE;NA;TRUE;TRUE;NA;TRUE;NA
"111";"AN_VOL_001_3130a_16";"3130_aom";"Vincent Smeekens";"2016-09-27";"hoog";"Normaal";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;TRUE;FALSE;TRUE;NA;TRUE;NA
"112";"AN_VOL_002_3130a_18";"3130_aom";"Vincent Smeekens";"2018-07-18";"hoog";"Droogstaand (groot deel)";"Versie 3";NA;NA;NA;TRUE;NA;TRUE;FALSE;TRUE;FALSE;NA;TRUE;NA
"113";"AN_VOL_002_3130n_18";"3130_na";"Vincent Smeekens";"2018-07-18";"hoog";"Droogstaand (groot deel)";"Versie 3";TRUE;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;NA;FALSE;NA
"114";"AN_VVM_001_3130n_16";"3130_na";"Vincent Smeekens";"2016-09-20";"hoog";"Droogstaand (groot deel)";"Versie 3";FALSE;NA;NA;NA;FALSE;FALSE;NA;TRUE;FALSE;NA;FALSE;NA
"115";"AN_VVM_002_3160_16";"3160";"Vincent Smeekens";"2016-10-21";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;NA;FALSE;FALSE;NA;TRUE;TRUE;FALSE;NA;NA
"116";"AN_VVM_003_3130a_18";"3130_aom";"Vincent Smeekens";"2018-06-21";"hoog";"Uitzonderlijk laag";"Versie 3";NA;NA;NA;FALSE;NA;TRUE;FALSE;TRUE;FALSE;NA;FALSE;NA
"117";"AN_VVM_004_3130a_18";"3130_aom";"Vincent Smeekens en Jo Packet";"2018-08-17";"hoog";"Droogstaand (groot deel)";"Versie 3";NA;NA;NA;FALSE;NA;FALSE;FALSE;TRUE;FALSE;NA;TRUE;NA
