"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator";"Belang"
"IV2013070515363839";"ZSCPQ279";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"9";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"0";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"kreken en oeverwallen aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070515451409";"ZSCPQ281";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"9";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"0";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"kreken en oeverwallen aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070515513858";"ZSCPQ282";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"9";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"0";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"kreken en oeverwallen aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070515583172";"ZSCPQ283";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"9";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"0";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"bedekking riet";"59";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"kreken en oeverwallen aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070516010967";"ZSCPQ284";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"15";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"0";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"22";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"bedekking riet";"22";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"bedekking riet";"22";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"kreken en oeverwallen aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070516275106";"ZSCPQ222";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"15";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"0";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"22";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"bedekking riet";"22";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"bedekking riet";"22";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"kreken en oeverwallen aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070908573073";"ZSCPQ225";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"15";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"aanwezigheid kreken, oeverwallen en kommen";"0";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"aanwezigheid schorklifvorming";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"bedekking glycofyten brakwaterschor";"22";"Percentage";NA;"%";"Verstoring";"verzoeting";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"bedekking riet";"22";"Percentage";NA;"%";"Verstoring";"overgang naar rbbmr";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"bedekking riet";"22";"Percentage";NA;"%";"Verstoring";"rietontwikkeling";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"habitattype lager dan het klif";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"intertidale ruimte thv GHW aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"verticale gradiënt";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"kreken en oeverwallen aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"kreken, oeverwallen en kommen";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"schorklifvegetaties aanwezig";"0";"Ja/nee";NA;NA;"Structuur";"schorklifvorming";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"zowel lage als hoge (en climax-) schorvegetaties";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur_vegetatiegradient";"zb"
"IV2013070909043060";"ZSCPQ227";"1330";"1330_da";"zowel lage als hoge schorvegetaties aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur";"zb"
"IV2013070909104301";"ZSCPQ230";"1330";"1330_da";"aandeel schorklif/breuksteenbestorting";"15";"Percentage";NA;"%";"Structuur";"schorklifvorming/breuksteenbestorting";"zb"
