HabCode;Criterium;Indicator;AnalyseVariabele;Voorwaarde;Soortengroep;Vegetatielaag;TypeSoortengroep;Eenheid;Drempelwaarde;Indicatortype;Drempelwaarde2;Meting;Combinatie;VersieLSVI
4010;habitatstructuur;dwergstruiken;dwergstruiken;;;;inclusief;bedekking;25;positief;;vegetatieplot;;versie2
4010;vegetatie;sleutelsoorten;sleutelsoorten_veenmos;aantal veenmossen;sleutelsoorten_veenmos;;inclusief;aantal;1;positief;;vegetatieplot;EN;versie3
4010;habitatstructuur;dwergstruiken;dwergstruiken;bedekking dwergstruiken;;;inclusief;bedekking;5;positief;;vegetatieplot;;versie3
4010;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie3
4010;habitatstructuur;veenmoslaag;veenmoslaag;;;;inclusief;bedekking;5;positief;;structuurplot;;versie2
4010;verstoring;verbossing;verbossing;bedekking verbossing;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
4010;verstoring;verbossing;verbossing;;;;inclusief;bedekking;30;negatief;;structuurplot;;versie2
4010;verstoring;vergrassing;vergrassing;;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie2
4030;habitatstructuur;ouderdomstructuur_struikhei;climaxOfDegradatieStadium;climax of degeneratiestadium;;;inclusief;aantalTalrijk;1;positief;;structuurplot;EN;versie3
4030;vegetatie;sleutelsoorten;sleutelsoorten_andere;;sleutelsoorten_andere;;inclusief;aantal;1;positief;;vegetatieplot;EN;versie2
4030;habitatstructuur;dwergstruiken;dwergstruiken;;;;inclusief;bedekking;45;positief;;vegetatieplot;;versie2
4030;vegetatie;sleutelsoorten;sleutelsoorten_andere;aantal sleutelsoorten;sleutelsoorten_andere;;inclusief;aantal;1;positief;;vegetatieplot;EN;versie3
4030;habitatstructuur;dwergstruiken;dwergstruiken;bedekking dwergstruiken;;;inclusief;bedekking;50;positief;;vegetatieplot;;versie3
4030;verstoring;invasieve_exoten;invasieve_exoten;bedekking invasieve exoten;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
4030;vegetatie;sleutelsoorten;struikhei;aanwezigheid specifieke sleutelsoorten;;;inclusief;aan/afwezig;1;positief;;vegetatieplot;EN;versie3
4030;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie3
4030;verstoring;verruiging;verruiging;bedekking verruiging;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
4030;habitatstructuur;ouderdomstructuur_struikhei;ouderdomstadia;aantal ouderdomsstadia;;;inclusief;aantalTalrijk;2;positief;;structuurplot;EN;versie3
4030;habitatstructuur;ouderdomstructuur_struikhei;ouderdomstadia;;;;inclusief;aantal;2;positief;;structuurplot;;versie2
4030;vegetatie;sleutelsoorten;struikhei;;;;inclusief;aan/afwezig;1;positief;;vegetatieplot;EN;versie2
4030;verstoring;verbossing;verbossing;bedekking verbossing;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
4030;verstoring;verbossing;verbossing;;;;inclusief;bedekking;30;negatief;;structuurplot;;versie2
4030;verstoring;vergrassingEnVerruiging;vergrassingEnVerruiging;;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie2
6120;vegetatie;sleutelsoorten_aantal;sleutelsoorten_aantal;aantal sleutelsoorten;;;inclusief;aantal;4;positief;;vegetatieplot;;versie3
6120;vegetatie;sleutelsoorten_bedekking;sleutelsoorten_bedekking;bedekking sleutelsoorten;;;inclusief;bedekking;10;positief;;vegetatieplot;;versie3
6120;habitatstructuur;naakte_bodem;naakte_bodem;bedekking open zand;;;inclusief;bedekking;3;range;75;structuurplot;;versie3
6120;verstoring;eutrofiëring;eutrofiëring;bedekking eutrofiëring;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6120;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie3
6120;verstoring;verruiging;verruiging;bedekking verruiging;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6120;verstoring;verbossing;verbossing;bedekking verbossing;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
6120;verstoring;verbraming;verbraming;bedekking verbraming;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6120;verstoring;strooisellaag;strooisellaag;bedekking strooisellaag;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
6120;verstoring;vermossing;vermossing;bedekking vermossing;;;inclusief;bedekking;30;negatief;;vegetatieplot;;versie3
9110;habitatstructuur;bosconstante;bosconstantie;bosconstantie;;;inclusief;jaar;100;positief;;structuurplot;;versie3
9110;habitatstructuur;hoeveelheid_dikDoodHout;dikDoodHoutStaand_ha;aantal exemplaren dik dood hout per ha;;;inclusief;aantal/ha;1;positief;;structuurplot;;versie3
9110;habitatstructuur;horizontale_structuur;groeiklasse7;groeiklasse 7 aanwezig;;;inclusief;aan/afwezig;1;positief;;structuurplot;OF;versie3
9110;verstoring;invasieve_exoten;invasieve_exoten_boomEnStruiklaag;bedekking invasieve exoten boom- en struiklaag;invasieve_exoten_boomEnStruiklaag;boomEnStruiklaag;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9110;habitatstructuur;horizontale_structuur;groeiklassen;aantal groeiklassen aanwezig;;;inclusief;aantal;3;positief;;structuurplot;OF;versie3
9110;verstoring;invasieve_exoten;invasieve_exoten_kruidlaag;bedekking invasieve exoten kruidlaag;invasieve_exoten_kruidlaag;kruidlaag;inclusief;bedekking;1;negatief;;vegetatieplot;EN;versie3
9110;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
9120;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
9110;verstoring;verruiging;verruiging_GewoneBraam;bedekking verruiging sublijst 1;verruiging_GewoneBraam;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9110;verstoring;verruiging;verruiging_BredeStekelvaren_Witbol;bedekking verruiging sublijst 2;verruiging_BredeStekelvaren_Witbol;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9110;verstoring;verruiging;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;bedekking verruiging sublijst 3;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9110;verstoring;verruiging;verruiging_Waterpeper_Pitrus_IjleZegge;bedekking verruiging sublijst 4;verruiging_Waterpeper_Pitrus_IjleZegge;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9110;verstoring;verruiging;verruiging;bedekking verruiging totaal;verruiging;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9110;vegetatie;sleutelsoorten_boomlaagEnStruiklaag;sleutelsoorten_boomlaag_grondvlakAandeel;grondvlak sleutelsoorten boom- en struiklaag;sleutelsoorten_boomlaag;;inclusief;%;70;positief;;structuurplot;;versie3
9110;habitatstructuur;verticale_structuur;talrijkeVegetatielagen;aantal vegetatielagen minimaal talrijk aanwezig;;;inclusief;aantal;3;positief;;structuurplot;;versie3
9110;habitatstructuur;aandeel_doodHout;volumeAandeelDoodHout;aandeel dood hout;;;inclusief;%;4;positief;;structuurplot;;versie3
9120;habitatstructuur;bosconstante;bosconstantie;bosconstantie;;;inclusief;jaar;100;positief;;structuurplot;;versie3
9120;habitatstructuur;hoeveelheid_dikDoodHout;dikDoodHoutStaand_ha;aantal exemplaren dik dood hout per ha;;;inclusief;aantal/ha;1;positief;;structuurplot;;versie3
9120;habitatstructuur;horizontale_structuur;groeiklasse7;groeiklasse 7 aanwezig;;;inclusief;aan/afwezig;1;positief;;structuurplot;OF;versie3
9120;habitatstructuur;horizontale_structuur;groeiklassen;aantal groeiklassen aanwezig;;;inclusief;aantal;3;positief;;structuurplot;OF;versie3
9120;verstoring;verruiging;verruiging_GewoneBraam;bedekking verruiging sublijst 1;verruiging_GewoneBraam;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9120;verstoring;invasieve_exoten;invasieve_exoten_boomEnStruiklaag;bedekking invasieve exoten boom- en struiklaag;invasieve_exoten_boomEnStruiklaag;boomEnStruiklaag;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9120;verstoring;invasieve_exoten;invasieve_exoten_kruidlaag;bedekking invasieve exoten kruidlaag;invasieve_exoten_kruidlaag;kruidlaag;inclusief;bedekking;1;negatief;;vegetatieplot;EN;versie3
9130;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
9160;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
9120;verstoring;verruiging;verruiging_BredeStekelvaren_Witbol;bedekking verruiging sublijst 2;verruiging_BredeStekelvaren_Witbol;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9120;verstoring;verruiging;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;bedekking verruiging sublijst 3;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9120;verstoring;verruiging;verruiging_Waterpeper_Pitrus_IjleZegge;bedekking verruiging sublijst 4;verruiging_Waterpeper_Pitrus_IjleZegge;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9120;verstoring;verruiging;verruiging;bedekking verruiging totaal;verruiging;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9120;vegetatie;sleutelsoorten_boomlaagEnStruiklaag;sleutelsoorten_boomlaag_grondvlakAandeel;grondvlak sleutelsoorten boom- en struiklaag;sleutelsoorten_boomlaag;;inclusief;%;70;positief;;structuurplot;;versie3
9120;habitatstructuur;verticale_structuur;talrijkeVegetatielagen;aantal vegetatielagen minimaal talrijk aanwezig;;;inclusief;aantal;3;positief;;structuurplot;;versie3
9120;habitatstructuur;aandeel_doodHout;volumeAandeelDoodHout;aandeel dood hout;;;inclusief;%;4;positief;;structuurplot;;versie3
9130;habitatstructuur;bosconstante;bosconstantie;bosconstantie;;;inclusief;jaar;100;positief;;structuurplot;;versie3
9130;habitatstructuur;hoeveelheid_dikDoodHout;dikDoodHoutStaand_ha;aantal exemplaren dik dood hout per ha;;;inclusief;aantal/ha;1;positief;;structuurplot;;versie3
9130;habitatstructuur;horizontale_structuur;groeiklasse7;groeiklasse 7 aanwezig;;;inclusief;aan/afwezig;1;positief;;structuurplot;OF;versie3
9130;habitatstructuur;horizontale_structuur;groeiklassen;aantal groeiklassen aanwezig;;;inclusief;aantal;3;positief;;structuurplot;OF;versie3
9130;verstoring;verruiging;verruiging_GewoneBraam;bedekking verruiging sublijst 1;verruiging_GewoneBraam;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9130;verstoring;invasieve_exoten;invasieve_exoten_boomEnStruiklaag;bedekking invasieve exoten boom- en struiklaag;invasieve_exoten_boomEnStruiklaag;boomEnStruiklaag;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9130;verstoring;invasieve_exoten;invasieve_exoten_kruidlaag;bedekking invasieve exoten kruidlaag;invasieve_exoten_kruidlaag;kruidlaag;inclusief;bedekking;1;negatief;;vegetatieplot;EN;versie3
9190;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;3;positief;;vegetatieplot;EN;versie3
91E0_sf;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
9130;verstoring;verruiging;verruiging_BredeStekelvaren_Witbol;bedekking verruiging sublijst 2;verruiging_BredeStekelvaren_Witbol;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9130;verstoring;verruiging;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;bedekking verruiging sublijst 3;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9130;verstoring;verruiging;verruiging_Waterpeper_Pitrus_IjleZegge;bedekking verruiging sublijst 4;verruiging_Waterpeper_Pitrus_IjleZegge;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9130;verstoring;verruiging;verruiging;bedekking verruiging totaal;verruiging;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9130;vegetatie;sleutelsoorten_boomlaagEnStruiklaag;sleutelsoorten_boomlaag_grondvlakAandeel;grondvlak sleutelsoorten boom- en struiklaag;sleutelsoorten_boomlaag;;inclusief;%;70;positief;;structuurplot;;versie3
9130;habitatstructuur;verticale_structuur;talrijkeVegetatielagen;aantal vegetatielagen minimaal talrijk aanwezig;;;inclusief;aantal;3;positief;;structuurplot;;versie3
9130;habitatstructuur;aandeel_doodHout;volumeAandeelDoodHout;aandeel dood hout;;;inclusief;%;4;positief;;structuurplot;;versie3
9160;habitatstructuur;bosconstante;bosconstantie;bosconstantie;;;inclusief;jaar;100;positief;;structuurplot;;versie3
9160;habitatstructuur;hoeveelheid_dikDoodHout;dikDoodHoutStaand_ha;aantal exemplaren dik dood hout per ha;;;inclusief;aantal/ha;1;positief;;structuurplot;;versie3
9160;habitatstructuur;horizontale_structuur;groeiklasse7;groeiklasse 7 aanwezig;;;inclusief;aan/afwezig;1;positief;;structuurplot;OF;versie3
9160;habitatstructuur;horizontale_structuur;groeiklassen;aantal groeiklassen aanwezig;;;inclusief;aantal;3;positief;;structuurplot;OF;versie3
9160;verstoring;verruiging;verruiging_GewoneBraam;bedekking verruiging sublijst 1;verruiging_GewoneBraam;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9160;verstoring;verruiging;verruiging_BredeStekelvaren_Witbol;bedekking verruiging sublijst 2;verruiging_BredeStekelvaren_Witbol;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9160;verstoring;invasieve_exoten;invasieve_exoten_boomEnStruiklaag;bedekking invasieve exoten boom- en struiklaag;invasieve_exoten_boomEnStruiklaag;boomEnStruiklaag;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9160;verstoring;invasieve_exoten;invasieve_exoten_kruidlaag;bedekking invasieve exoten kruidlaag;invasieve_exoten_kruidlaag;kruidlaag;inclusief;bedekking;1;negatief;;vegetatieplot;EN;versie3
91E0_va;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
91E0_vc;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;2;positief;;vegetatieplot;EN;versie3
9160;verstoring;verruiging;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;bedekking verruiging sublijst 3;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9160;verstoring;verruiging;verruiging_Waterpeper_Pitrus_IjleZegge;bedekking verruiging sublijst 4;verruiging_Waterpeper_Pitrus_IjleZegge;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9160;verstoring;verruiging;verruiging;bedekking verruiging totaal;verruiging;;inclusief;bedekking;50;negatief;;vegetatieplot;EN;versie3
9160;vegetatie;sleutelsoorten_boomlaagEnStruiklaag;sleutelsoorten_boomlaag_grondvlakAandeel;grondvlak sleutelsoorten boom- en struiklaag;sleutelsoorten_boomlaag;;inclusief;%;70;positief;;structuurplot;;versie3
9160;habitatstructuur;verticale_structuur;talrijkeVegetatielagen;aantal vegetatielagen minimaal talrijk aanwezig;;;inclusief;aantal;3;positief;;structuurplot;;versie3
9160;habitatstructuur;aandeel_doodHout;volumeAandeelDoodHout;aandeel dood hout;;;inclusief;%;4;positief;;structuurplot;;versie3
9190;habitatstructuur;bosconstante;bosconstantie;bosconstantie;;;inclusief;jaar;100;positief;;structuurplot;;versie3
9190;habitatstructuur;hoeveelheid_dikDoodHout;dikDoodHoutStaand_ha;aantal exemplaren dik dood hout per ha;;;inclusief;aantal/ha;1;positief;;structuurplot;;versie3
9190;habitatstructuur;horizontale_structuur;groeiklasse7;groeiklasse 7 aanwezig;;;inclusief;aan/afwezig;1;positief;;structuurplot;OF;versie3
9190;habitatstructuur;horizontale_structuur;groeiklassen;aantal groeiklassen aanwezig;;;inclusief;aantal;3;positief;;structuurplot;OF;versie3
9190;verstoring;verruiging;verruiging_GewoneBraam;bedekking verruiging sublijst 1;verruiging_GewoneBraam;;inclusief;bedekking;30;negatief;;vegetatieplot;EN;versie3
9190;verstoring;verruiging;verruiging_BredeStekelvaren_Witbol;bedekking verruiging sublijst 2;verruiging_BredeStekelvaren_Witbol;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9190;verstoring;invasieve_exoten;invasieve_exoten_boomEnStruiklaag;bedekking invasieve exoten boom- en struiklaag;invasieve_exoten_boomEnStruiklaag;boomEnStruiklaag;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9190;verstoring;invasieve_exoten;invasieve_exoten_kruidlaag;bedekking invasieve exoten kruidlaag;invasieve_exoten_kruidlaag;kruidlaag;inclusief;bedekking;1;negatief;;vegetatieplot;EN;versie3
91E0_vm;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;7;positief;;vegetatieplot;EN;versie3
91E0_vn;vegetatie;sleutelsoorten_kruidlaag;sleutelsoorten_kruidlaag_aantal;aantal sleutelsoorten kruidlaag;sleutelsoorten_kruidlaag;kruidlaag;inclusief;aantal;10;positief;;vegetatieplot;EN;versie3
9190;verstoring;verruiging;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;bedekking verruiging sublijst 3;verruiging_GewoneVlier_Brandnetel_Hondsdraf_Kleefkruid;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9190;verstoring;verruiging;verruiging_Waterpeper_Pitrus_IjleZegge;bedekking verruiging sublijst 4;verruiging_Waterpeper_Pitrus_IjleZegge;;inclusief;bedekking;10;negatief;;vegetatieplot;EN;versie3
9190;verstoring;verruiging;verruiging;bedekking verruiging totaal;verruiging;;inclusief;bedekking;30;negatief;;vegetatieplot;EN;versie3
9190;vegetatie;sleutelsoorten_boomlaagEnStruiklaag;sleutelsoorten_boomlaag_grondvlakAandeel;grondvlak sleutelsoorten boom- en struiklaag;sleutelsoorten_boomlaag;;inclusief;%;70;positief;;structuurplot;;versie3
9190;habitatstructuur;verticale_structuur;talrijkeVegetatielagen;aantal vegetatielagen minimaal talrijk aanwezig;;;inclusief;aantal;3;positief;;structuurplot;;versie3
9190;habitatstructuur;aandeel_doodHout;volumeAandeelDoodHout;aandeel dood hout;;;inclusief;%;4;positief;;structuurplot;;versie3
1330_hpr;vegetatie;sleutelsoorten_aantal;sleutelsoorten_aantal;aantal sleutelsoorten;;;inclusief;aantal;2;positief;;vegetatieplot;;versie3
1330_hpr;vegetatie;sleutelsoorten_bedekking;sleutelsoorten_bedekking;bedekking sleutelsoorten;;;inclusief;bedekking;30;positief;;vegetatieplot;;versie3
1330_hpr;habitatstructuur;differentiatie_zoutplanten_tredplanten;differentiatie_zoutplanten_tredplanten;differentiatie in zout- en tredplanten;;;inclusief;;1;positief;;structuurplot;;versie3
1330_hpr;habitatstructuur;microreliëf;microreliëf;bedekking microrelief;;;inclusief;bedekking;3;positief;;structuurplot;;versie3
1330_hpr;habitatstructuur;dominantie_soort;max_bedekking_Heen_Zulte;bedekking heen of zulte;;;inclusief;maxBedekking;70;negatief;;vegetatieplot;;versie3
1330_hpr;verstoring;rietontwikkeling;rietontwikkeling;bedekking;;;inclusief;bedekking;3;negatief;;vegetatieplot;;versie3
1330_hpr;verstoring;overgang_rbbzil;overgang_rbbzil;som bedekking grasachtigen uit het zilverschoonver;;;inclusief;bedekking;;negatief;;vegetatieplot;;versie3
2330_bu;verstoring;invasieve_exoten;invasieve_exoten;;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie2
2330_bu;habitatstructuur;korstmosvegetaties;korstmosvegetaties;;;;inclusief;bedekking;1;positief;;structuurplot;;versie2
2330_bu;habitatstructuur;naakte_bodem;naakte_bodem;bedekking open zand;;;inclusief;bedekking;10;positief;;structuurplot;;versie3
2330_bu;habitatstructuur;naakte_bodem;naakte_bodem;;;;inclusief;bedekking;10;positief;;structuurplot;;versie2
2330_bu;habitatstructuur;horizontale_structuur;openVegetatie;bedekking open vegetaties;;;inclusief;bedekking;10;positief;;structuurplot;;versie3
2330_bu;habitatstructuur;horizontale_structuur;pionierStadia;;;;inclusief;aantal;2;positief;;structuurplot;;versie2
2330_bu;verstoring;invasieve_exoten;invasieve_exoten;bedekking invasieve exoten;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
2330_bu;vegetatie;sleutelsoorten;sleutelsoorten;;sleutelsoorten;;inclusief;aantalFrequent;1;positief;;vegetatieplot;;versie2
2330_bu;vegetatie;sleutelsoorten;sleutelsoorten;aantal sleutelsoorten;sleutelsoorten;;inclusief;aantal;2;positief;;vegetatieplot;;versie3
2330_bu;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;30;negatief;;vegetatieplot;;versie3
2330_bu;verstoring;verbossing;verbossing;bedekking verbossing;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
2330_bu;verstoring;verbossing;verbossing;;;;inclusief;bedekking;10;negatief;;structuurplot;;versie2
2330_bu;verstoring;vergrassing;vergrassing;;;;inclusief;bedekking;30;negatief;;vegetatieplot;;versie2
6230_ha;vegetatie;sleutelsoorten_aantal;sleutelsoorten_aantal;aantal sleutelsoorten;;;inclusief;aantal;4;positief;;vegetatieplot;;versie3
6230_ha;vegetatie;sleutelsoorten_bedekking;sleutelsoorten_bedekking;bedekking sleutelsoorten;;;inclusief;bedekking;10;positief;;vegetatieplot;;versie3
6230_ha;verstoring;eutrofiëring;eutrofiëring;bedekking eutrofiëring;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6230_ha;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie3
6230_ha;verstoring;verruiging;verruiging;bedekking verruiging;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6230_ha;verstoring;verbossing;verbossing;bedekking verbossing;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
6230_ha;verstoring;verbraming;verbraming;bedekking verbraming;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6230_ha;verstoring;strooisellaag;strooisellaag;bedekking strooisellaag;;;inclusief;bedekking;10;negatief;;structuurplot;;versie3
6230_ha;verstoring;vermossing;vermossing;bedekking vermossing;;;inclusief;bedekking;30;negatief;;vegetatieplot;;versie3
6230_hmo;vegetatie;sleutelsoorten_aantal;sleutelsoorten_aantal;aantal sleutelsoorten;;;inclusief;aantal;4;positief;;vegetatieplot;;versie3
6230_hmo;vegetatie;sleutelsoorten_bedekking;sleutelsoorten_bedekking;bedekking sleutelsoorten;;;inclusief;bedekking;10;positief;;vegetatieplot;;versie3
6230_hmo;verstoring;eutrofiëring;eutrofiëring;bedekking eutrofiëring;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
6230_hmo;verstoring;vergrassing;vergrassing;bedekking vergrassing;;;inclusief;bedekking;50;negatief;;vegetatieplot;;versie3
6230_hmo;verstoring;verruiging;verruiging;bedekking verruiging;;;inclusief;bedekking;10;negatief;;vegetatieplot;;versie3
