"";"CodeLocatie";"Habitattype";"ID";"Meetnet";"datum";"Versie";"aantal groeivormen";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²";"jaar";"periode"
"26";"TR102500.2";"3260";"TR102500.2_6/07/2016";"monitoringVMM_KRW";2016-07-06;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2016;"2"
"27";"TR102500.4";"3260";"TR102500.4_11/06/2013";"monitoringVMM_KRW";2013-06-11;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"28";"TR102500.4";"3260";"TR102500.4_11/06/2013";"monitoringVMM_KRW";2013-06-11;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2013;"2"
"29";"TR102500.4";"3260";"TR102500.4_30/05/2012";"monitoringVMM_KRW";2012-05-30;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2012;"1"
"30";"TR102500.4";"3260";"TR102500.4_30/05/2012";"monitoringVMM_KRW";2012-05-30;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2012;"1"
"31";"TR102500.4";"3260";"TR102500.4_6/07/2016";"monitoringVMM_KRW";2016-07-06;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2016;"2"
"32";"TR102500.4";"3260";"TR102500.4_6/07/2016";"monitoringVMM_KRW";2016-07-06;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA;2016;"2"
"33";"TR147000.1";"3260";"TR147000.1_26/09/2013";"monitoringVMM_KRW";2013-09-26;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"34";"TR147000.1";"3260";"TR147000.1_26/09/2013";"monitoringVMM_KRW";2013-09-26;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2013;"2"
"35";"TR147000.1";"3260";"TR147000.1_9/07/2008";"monitoringVMM_KRW";2008-07-09;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2008;"1"
"36";"TR147000.1";"3260";"TR147000.1_9/07/2008";"monitoringVMM_KRW";2008-07-09;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2008;"1"
"37";"TR147000.2";"3260";"TR147000.2_26/09/2013";"monitoringVMM_KRW";2013-09-26;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"38";"TR147000.2";"3260";"TR147000.2_26/09/2013";"monitoringVMM_KRW";2013-09-26;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2013;"2"
"39";"TR147000.2";"3260";"TR147000.2_9/07/2008";"monitoringVMM_KRW";2008-07-09;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2008;"1"
"40";"TR147000.2";"3260";"TR147000.2_9/07/2008";"monitoringVMM_KRW";2008-07-09;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2008;"1"
"41";"TR152500.1";"3260";"TR152500.1_13/09/2017";"monitoringVMM_KRW";2017-09-13;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;2017;"2"
"42";"TR152500.1";"3260";"TR152500.1_13/09/2017";"monitoringVMM_KRW";2017-09-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2017;"2"
"43";"TR152500.1";"3260";"TR152500.1_25/07/2008";"monitoringVMM_KRW";2008-07-25;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;2008;"1"
"44";"TR152500.1";"3260";"TR152500.1_25/07/2008";"monitoringVMM_KRW";2008-07-25;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2008;"1"
"45";"TR152500.1";"3260";"TR152500.1_25/07/2011";"monitoringVMM_KRW";2011-07-25;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"46";"TR152500.1";"3260";"TR152500.1_25/07/2011";"monitoringVMM_KRW";2011-07-25;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2011;"1"
"47";"TR152500.1";"3260";"TR152500.1_27/08/2013";"monitoringVMM_KRW";2013-08-27;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"48";"TR152500.1";"3260";"TR152500.1_27/08/2013";"monitoringVMM_KRW";2013-08-27;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2013;"2"
"49";"TR152500.2";"3260";"TR152500.2_13/09/2017";"monitoringVMM_KRW";2017-09-13;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;2017;"2"
"50";"TR152500.2";"3260";"TR152500.2_13/09/2017";"monitoringVMM_KRW";2017-09-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2017;"2"
"51";"TR152500.2";"3260";"TR152500.2_24/07/2008";"monitoringVMM_KRW";2008-07-24;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2008;"1"
"52";"TR152500.2";"3260";"TR152500.2_24/07/2008";"monitoringVMM_KRW";2008-07-24;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2008;"1"
"53";"TR152500.2";"3260";"TR152500.2_25/07/2011";"monitoringVMM_KRW";2011-07-25;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"54";"TR152500.2";"3260";"TR152500.2_25/07/2011";"monitoringVMM_KRW";2011-07-25;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2011;"1"
"55";"TR152500.2";"3260";"TR152500.2_27/08/2013";"monitoringVMM_KRW";2013-08-27;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"56";"TR152500.2";"3260";"TR152500.2_27/08/2013";"monitoringVMM_KRW";2013-08-27;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2013;"2"
"57";"TR152500.3";"3260";"TR152500.3_13/09/2017";"monitoringVMM_KRW";2017-09-13;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2017;"2"
"58";"TR152500.3";"3260";"TR152500.3_13/09/2017";"monitoringVMM_KRW";2017-09-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2017;"2"
"59";"TR152500.3";"3260";"TR152500.3_24/07/2008";"monitoringVMM_KRW";2008-07-24;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2008;"1"
"60";"TR152500.3";"3260";"TR152500.3_24/07/2008";"monitoringVMM_KRW";2008-07-24;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA;2008;"1"
"61";"TR152500.3";"3260";"TR152500.3_25/07/2011";"monitoringVMM_KRW";2011-07-25;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2011;"1"
"62";"TR152500.3";"3260";"TR152500.3_25/07/2011";"monitoringVMM_KRW";2011-07-25;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2011;"1"
"63";"TR152500.3";"3260";"TR152500.3_27/08/2013";"monitoringVMM_KRW";2013-08-27;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"64";"TR152500.3";"3260";"TR152500.3_27/08/2013";"monitoringVMM_KRW";2013-08-27;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2013;"2"
"65";"TR190870.1";"3260";"TR190870.1_19/08/2010";"monitoringVMM_KRW";2010-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"66";"TR190870.1";"3260";"TR190870.1_19/08/2010";"monitoringVMM_KRW";2010-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA;2010;"1"
"67";"TR190870.1";"3260";"TR190870.1_30/07/2013";"monitoringVMM_KRW";2013-07-30;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"68";"TR190870.1";"3260";"TR190870.1_30/07/2013";"monitoringVMM_KRW";2013-07-30;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA;2013;"2"
"69";"TR262200.1";"3260";"TR262200.1_12/09/2007";"monitoringVMM_KRW";2007-09-12;"Versie 2.0";FALSE;TRUE;NA;FALSE;TRUE;FALSE;NA;2007;"1"
"70";"TR262200.1";"3260";"TR262200.1_12/09/2007";"monitoringVMM_KRW";2007-09-12;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2007;"1"
"71";"TR262200.1";"3260";"TR262200.1_15/07/2010";"monitoringVMM_KRW";2010-07-15;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;FALSE;NA;2010;"1"
"72";"TR262200.1";"3260";"TR262200.1_15/07/2010";"monitoringVMM_KRW";2010-07-15;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2010;"1"
"73";"TR262200.1";"3260";"TR262200.1_17/08/2016";"monitoringVMM_KRW";2016-08-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;FALSE;TRUE;NA;2016;"2"
"74";"TR262200.1";"3260";"TR262200.1_17/08/2016";"monitoringVMM_KRW";2016-08-17;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA;2016;"2"
"75";"TR262200.1";"3260";"TR262200.1_22/07/2013";"monitoringVMM_KRW";2013-07-22;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;FALSE;NA;2013;"2"
"76";"TR262200.1";"3260";"TR262200.1_22/07/2013";"monitoringVMM_KRW";2013-07-22;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2013;"2"
"77";"TR262200.2";"3260";"TR262200.2_15/07/2010";"monitoringVMM_KRW";2010-07-15;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"78";"TR262200.2";"3260";"TR262200.2_15/07/2010";"monitoringVMM_KRW";2010-07-15;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA;2010;"1"
"79";"TR262200.2";"3260";"TR262200.2_22/07/2013";"monitoringVMM_KRW";2013-07-22;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"80";"TR262200.2";"3260";"TR262200.2_22/07/2013";"monitoringVMM_KRW";2013-07-22;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;NA;2013;"2"
"81";"TR274000.1";"3260";"TR274000.1_18/07/2013";"monitoringVMM_KRW";2013-07-18;"Versie 2.0";TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA;2013;"2"
"82";"TR274000.1";"3260";"TR274000.1_18/07/2013";"monitoringVMM_KRW";2013-07-18;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2013;"2"
"83";"TR274000.1";"3260";"TR274000.1_6/08/2007";"monitoringVMM_KRW";2007-08-06;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;TRUE;NA;2007;"1"
"84";"TR274000.1";"3260";"TR274000.1_6/08/2007";"monitoringVMM_KRW";2007-08-06;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2007;"1"
"85";"TR274000.1";"3260";"TR274000.1_8/07/2010";"monitoringVMM_KRW";2010-07-08;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;TRUE;NA;2010;"1"
"86";"TR274000.1";"3260";"TR274000.1_8/07/2010";"monitoringVMM_KRW";2010-07-08;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2010;"1"
"87";"TR274000.2";"3260";"TR274000.2_18/07/2013";"monitoringVMM_KRW";2013-07-18;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2013;"2"
"88";"TR274000.2";"3260";"TR274000.2_18/07/2013";"monitoringVMM_KRW";2013-07-18;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2013;"2"
"89";"TR274000.2";"3260";"TR274000.2_4/06/2010";"monitoringVMM_KRW";2010-06-04;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;TRUE;NA;2010;"1"
"90";"TR274000.2";"3260";"TR274000.2_4/06/2010";"monitoringVMM_KRW";2010-06-04;"Versie 3";NA;TRUE;TRUE;FALSE;FALSE;FALSE;NA;2010;"1"
"91";"TR274000.2";"3260";"TR274000.2_7/08/2007";"monitoringVMM_KRW";2007-08-07;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;FALSE;NA;2007;"1"
"92";"TR274000.2";"3260";"TR274000.2_7/08/2007";"monitoringVMM_KRW";2007-08-07;"Versie 3";NA;FALSE;TRUE;FALSE;TRUE;FALSE;NA;2007;"1"
"93";"TR274000.2";"3260";"TR274000.2_8/07/2010";"monitoringVMM_KRW";2010-07-08;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2010;"1"
"94";"TR274000.2";"3260";"TR274000.2_8/07/2010";"monitoringVMM_KRW";2010-07-08;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2010;"1"
"95";"TR274000.3";"3260";"TR274000.3_17/06/2010";"monitoringVMM_KRW";2010-06-17;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2010;"1"
"96";"TR274000.3";"3260";"TR274000.3_17/06/2010";"monitoringVMM_KRW";2010-06-17;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2010;"1"
"97";"TR274000.3";"3260";"TR274000.3_18/07/2013";"monitoringVMM_KRW";2013-07-18;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2013;"2"
"98";"TR274000.3";"3260";"TR274000.3_18/07/2013";"monitoringVMM_KRW";2013-07-18;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA;2013;"2"
"99";"TR274000.3";"3260";"TR274000.3_23/08/2016";"monitoringVMM_KRW";2016-08-23;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA;2016;"2"
"100";"TR274000.3";"3260";"TR274000.3_23/08/2016";"monitoringVMM_KRW";2016-08-23;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2016;"2"
"101";"TR274000.3";"3260";"TR274000.3_8/07/2010";"monitoringVMM_KRW";2010-07-08;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2010;"1"
"102";"TR274000.3";"3260";"TR274000.3_8/07/2010";"monitoringVMM_KRW";2010-07-08;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2010;"1"
"103";"TR276700.1";"3260";"TR276700.1_17/07/2013";"monitoringVMM_KRW";2013-07-17;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2013;"2"
"104";"TR276700.1";"3260";"TR276700.1_17/07/2013";"monitoringVMM_KRW";2013-07-17;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2013;"2"
"105";"TR276700.1";"3260";"TR276700.1_23/08/2016";"monitoringVMM_KRW";2016-08-23;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2016;"2"
"106";"TR276700.1";"3260";"TR276700.1_23/08/2016";"monitoringVMM_KRW";2016-08-23;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA;2016;"2"
"107";"TR276700.1";"3260";"TR276700.1_25/08/2010";"monitoringVMM_KRW";2010-08-25;"Versie 2.0";FALSE;TRUE;NA;FALSE;FALSE;TRUE;NA;2010;"1"
"108";"TR276700.1";"3260";"TR276700.1_25/08/2010";"monitoringVMM_KRW";2010-08-25;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2010;"1"
"109";"TR276700.1";"3260";"TR276700.1_8/08/2007";"monitoringVMM_KRW";2007-08-08;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2007;"1"
"110";"TR276700.1";"3260";"TR276700.1_8/08/2007";"monitoringVMM_KRW";2007-08-08;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2007;"1"
"111";"TR276700.2";"3260";"TR276700.2_17/07/2013";"monitoringVMM_KRW";2013-07-17;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2013;"2"
"112";"TR276700.2";"3260";"TR276700.2_17/07/2013";"monitoringVMM_KRW";2013-07-17;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2013;"2"
"113";"TR276700.2";"3260";"TR276700.2_23/08/2016";"monitoringVMM_KRW";2016-08-23;"Versie 2.0";TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA;2016;"2"
"114";"TR276700.2";"3260";"TR276700.2_23/08/2016";"monitoringVMM_KRW";2016-08-23;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2016;"2"
"115";"TR276700.2";"3260";"TR276700.2_25/08/2010";"monitoringVMM_KRW";2010-08-25;"Versie 2.0";TRUE;TRUE;NA;FALSE;TRUE;FALSE;NA;2010;"1"
"116";"TR276700.2";"3260";"TR276700.2_25/08/2010";"monitoringVMM_KRW";2010-08-25;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2010;"1"
"117";"TR276700.2";"3260";"TR276700.2_4/06/2010";"monitoringVMM_KRW";2010-06-04;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"118";"TR276700.2";"3260";"TR276700.2_4/06/2010";"monitoringVMM_KRW";2010-06-04;"Versie 3";NA;TRUE;TRUE;TRUE;TRUE;FALSE;NA;2010;"1"
"119";"TR276700.2";"3260";"TR276700.2_8/08/2007";"monitoringVMM_KRW";2007-08-08;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA;2007;"1"
"120";"TR276700.2";"3260";"TR276700.2_8/08/2007";"monitoringVMM_KRW";2007-08-08;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2007;"1"
"121";"TR277000.1";"3260";"TR277000.1_1/08/2016";"monitoringVMM_KRW";2016-08-01;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2016;"2"
"122";"TR277000.1";"3260";"TR277000.1_1/08/2016";"monitoringVMM_KRW";2016-08-01;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2016;"2"
"123";"TR277000.1";"3260";"TR277000.1_1/09/2008";"monitoringVMM_KRW";2008-09-01;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;FALSE;NA;2008;"1"
"124";"TR277000.1";"3260";"TR277000.1_1/09/2008";"monitoringVMM_KRW";2008-09-01;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2008;"1"
"125";"TR277000.1";"3260";"TR277000.1_16/07/2013";"monitoringVMM_KRW";2013-07-16;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2013;"2"
"126";"TR277000.1";"3260";"TR277000.1_16/07/2013";"monitoringVMM_KRW";2013-07-16;"Versie 3";NA;TRUE;TRUE;TRUE;FALSE;FALSE;NA;2013;"2"
"127";"TR277000.1";"3260";"TR277000.1_22/09/2010";"monitoringVMM_KRW";2010-09-22;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA;2010;"1"
"128";"TR277000.1";"3260";"TR277000.1_22/09/2010";"monitoringVMM_KRW";2010-09-22;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;FALSE;NA;2010;"1"
"129";"TR306500.1";"3260";"TR306500.1_1/08/2011";"monitoringVMM_KRW";2011-08-01;"Versie 2.0";FALSE;FALSE;NA;FALSE;FALSE;TRUE;NA;2011;"1"
"130";"TR306500.1";"3260";"TR306500.1_1/08/2011";"monitoringVMM_KRW";2011-08-01;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2011;"1"
"131";"TR306500.1";"3260";"TR306500.1_3/07/2017";"monitoringVMM_KRW";2017-07-03;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2017;"2"
"132";"TR306500.1";"3260";"TR306500.1_3/07/2017";"monitoringVMM_KRW";2017-07-03;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2017;"2"
"133";"TR306500.1";"3260";"TR306500.1_7/08/2008";"monitoringVMM_KRW";2008-08-07;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA;2008;"1"
"134";"TR306500.1";"3260";"TR306500.1_7/08/2008";"monitoringVMM_KRW";2008-08-07;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA;2008;"1"
"135";"TR306500.2";"3260";"TR306500.2_1/08/2011";"monitoringVMM_KRW";2011-08-01;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2011;"1"
"136";"TR306500.2";"3260";"TR306500.2_1/08/2011";"monitoringVMM_KRW";2011-08-01;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2011;"1"
"137";"TR306500.2";"3260";"TR306500.2_1/08/2017";"monitoringVMM_KRW";2017-08-01;"Versie 2.0";TRUE;FALSE;NA;FALSE;FALSE;TRUE;NA;2017;"2"
"138";"TR306500.2";"3260";"TR306500.2_1/08/2017";"monitoringVMM_KRW";2017-08-01;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA;2017;"2"
"139";"TR306500.2";"3260";"TR306500.2_7/08/2008";"monitoringVMM_KRW";2008-08-07;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA;2008;"1"
"140";"TR306500.2";"3260";"TR306500.2_7/08/2008";"monitoringVMM_KRW";2008-08-07;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA;2008;"1"
"141";"TR306500.3";"3260";"TR306500.3_1/08/2011";"monitoringVMM_KRW";2011-08-01;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA;2011;"1"
"142";"TR306500.3";"3260";"TR306500.3_1/08/2011";"monitoringVMM_KRW";2011-08-01;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA;2011;"1"
