"Scenario";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Combinatie cirkelplot en vegetatieplot";641238;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";100;9,30666666666667;9,30666666666667;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";648914;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;4;6;1;66,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";648914;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";654598;6230;"6230_ha";"Versie 2.0";"Buiten";"Atlantic";50;25,5333333333333;12,7666666666667;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";654598;6230;"6230_ha";"Versie 3";"Buiten";"Atlantic";50;25,5333333333333;12,7666666666667;5;9;2;55,5555555555556;0
"Combinatie cirkelplot en vegetatieplot";695297;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";30;5,18125;1,554375;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";695297;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";30;5,18125;1,554375;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";696182;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";70;6,17391304347826;4,32173913043478;3;8;1;37,5;0
"Combinatie cirkelplot en vegetatieplot";696182;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";70;6,17391304347826;4,32173913043478;7;12;1;58,3333333333333;0
"Combinatie cirkelplot en vegetatieplot";702674;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";71;9,97272727272727;7,08063636363636;4;9;3;44,4444444444444;0
"Combinatie cirkelplot en vegetatieplot";702674;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";71;9,97272727272727;7,08063636363636;6;10;3;60;0
"Combinatie cirkelplot en vegetatieplot";717750;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";100;9,97272727272727;9,97272727272727;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";717750;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";100;9,97272727272727;9,97272727272727;7;10;2;70;0
"Combinatie cirkelplot en vegetatieplot";721906;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";40;9,30666666666667;3,72266666666667;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";721906;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";40;9,30666666666667;3,72266666666667;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";736949;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";65;5,18125;3,3678125;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";736949;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";65;5,18125;3,3678125;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";742450;6410;"6410_mo";"Versie 2.0";"Binnen";"Atlantic";100;0,621739130434783;0,621739130434783;6;11;2;54,5454545454545;0
"Combinatie cirkelplot en vegetatieplot";742450;6410;"6410_mo";"Versie 3";"Binnen";"Atlantic";100;0,621739130434783;0,621739130434783;7;13;3;53,8461538461538;0
"Combinatie cirkelplot en vegetatieplot";743982;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";100;5,635;5,635;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";743982;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";100;5,635;5,635;11;11;0;100;1
"Combinatie cirkelplot en vegetatieplot";745170;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;5;6;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";745170;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";50;9,30666666666667;4,65333333333333;8;9;1;88,8888888888889;0
"Combinatie cirkelplot en vegetatieplot";753630;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";90;5,635;5,0715;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";753630;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";90;5,635;5,0715;11;11;0;100;1
"Combinatie cirkelplot en vegetatieplot";781906;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";70;7,67647058823529;5,37352941176471;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";781906;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";70;7,67647058823529;5,37352941176471;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";783954;6230;"6230_ha";"Versie 2.0";"Binnen";"Atlantic";28;9,30666666666667;2,60586666666667;3;6;1;50;0
"Combinatie cirkelplot en vegetatieplot";783954;6230;"6230_ha";"Versie 3";"Binnen";"Atlantic";28;9,30666666666667;2,60586666666667;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";798133;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";100;5,18125;5,18125;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";798133;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";100;5,18125;5,18125;5;6;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";801793;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";85;5,18125;4,4040625;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";801793;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";85;5,18125;4,4040625;5;6;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";823129;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";74;5,635;4,1699;4;9;2;44,4444444444444;0
"Combinatie cirkelplot en vegetatieplot";823129;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";74;5,635;4,1699;6;11;3;54,5454545454545;0
"Combinatie cirkelplot en vegetatieplot";842030;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;6;8;0;75;1
"Combinatie cirkelplot en vegetatieplot";842030;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;7;9;0;77,7777777777778;1
"Combinatie cirkelplot en vegetatieplot";856054;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";33;6,17391304347826;2,03739130434783;5;8;0;62,5;1
"Combinatie cirkelplot en vegetatieplot";856054;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";33;6,17391304347826;2,03739130434783;9;12;0;75;1
"Combinatie cirkelplot en vegetatieplot";857298;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";70;7,67647058823529;5,37352941176471;8;8;0;100;1
"Combinatie cirkelplot en vegetatieplot";857298;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";70;7,67647058823529;5,37352941176471;9;9;0;100;1
"Combinatie cirkelplot en vegetatieplot";863862;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;5;8;1;62,5;0
"Combinatie cirkelplot en vegetatieplot";863862;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;10;12;0;83,3333333333333;1
"Combinatie cirkelplot en vegetatieplot";880094;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";83;9,97272727272727;8,27736363636364;5;9;2;55,5555555555556;0
"Combinatie cirkelplot en vegetatieplot";880094;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";83;9,97272727272727;8,27736363636364;6;10;2;60;0
"Combinatie cirkelplot en vegetatieplot";905382;6410;"6410_mo";"Versie 2.0";"Buiten";"Atlantic";60;0,922222222222222;0,553333333333333;8;11;1;72,7272727272727;0
"Combinatie cirkelplot en vegetatieplot";905382;6410;"6410_mo";"Versie 3";"Buiten";"Atlantic";60;0,922222222222222;0,553333333333333;10;13;2;76,9230769230769;0
"Combinatie cirkelplot en vegetatieplot";908981;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";60;5,18125;3,10875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";908981;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";60;5,18125;3,10875;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";923346;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;7;8;1;87,5;0
"Combinatie cirkelplot en vegetatieplot";923346;7140;"7140_meso";"Versie 3";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;11;12;1;91,6666666666667;0
"Combinatie cirkelplot en vegetatieplot";943826;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";86;9,97272727272727;8,57654545454545;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";943826;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";86;9,97272727272727;8,57654545454545;8;10;2;80;0
"Combinatie cirkelplot en vegetatieplot";959958;7140;"7140_oli";"Versie 2.0";"Binnen";"Atlantic";100;9,97272727272727;9,97272727272727;7;9;2;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";959958;7140;"7140_oli";"Versie 3";"Binnen";"Atlantic";100;9,97272727272727;9,97272727272727;7;10;3;70;0
"Combinatie cirkelplot en vegetatieplot";979286;6230;"6230_hmo";"Versie 2.0";"Binnen";"Atlantic";100;5,635;5,635;7;9;1;77,7777777777778;0
"Combinatie cirkelplot en vegetatieplot";979286;6230;"6230_hmo";"Versie 3";"Binnen";"Atlantic";100;5,635;5,635;10;11;1;90,9090909090909;0
"Combinatie cirkelplot en vegetatieplot";983990;6230;"6230_hn";"Versie 2.0";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;7;8;0;87,5;1
"Combinatie cirkelplot en vegetatieplot";983990;6230;"6230_hn";"Versie 3";"Binnen";"Atlantic";100;7,67647058823529;7,67647058823529;8;9;0;88,8888888888889;1
"Combinatie cirkelplot en vegetatieplot";996353;1330;"1330_hpr";"Versie 2.0";"Binnen";"Atlantic";30;5,18125;1,554375;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";996353;1330;"1330_hpr";"Versie 3";"Binnen";"Atlantic";30;5,18125;1,554375;6;6;0;100;1
"Combinatie cirkelplot en vegetatieplot";1004470;7140;"7140_meso";"Versie 2.0";"Binnen";"Atlantic";100;6,17391304347826;6,17391304347826;5;8;1;62,5;0
