"";"ID";"Habitattype";"RecordingGivid";"UserReference";"LocationCode";"Observer";"VagueDateBegin";"Kolom1";"Betrouwbaarheid";"Waterpeil";"Regio";"SBZH";"ID_Plas";"OppKl";"Oppervlakte_plas"
"122";"AN_ZEG_002_3150_17";"3150";"IV2018090609212270";"AN_ZEG_002_3150_17";"AN_ZEG_002";"Vincent Smeekens en Kevin Scheers";"2017-08-25";"AN_ZEG_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_6004";"1 ha < Opp <= 5 ha";43779,012199
"123";"AN_ZEG_003_3150_17";"3150";"IV2018030208294109";"AN_ZEG_003_3150_17";"AN_ZEG_003";"Vincent Smeekens & Kevin Scheers";"2017-08-24";"AN_ZEG_003";"hoog";"Normaal";"Atlantisch";"binnen";"BL_6189";"5 ha < Opp < 50 ha";192394,179955
"124";"AN_ZEG_004_3130a_18";"3130_aom";"IV2018090514203660";"AN_ZEG_004_3130a_18";"AN_ZEG_004";"Kevin Scheers";"2017-07-17";"AN_ZEG_004";"hoog";"Normaal";"Atlantisch";"binnen";"BL_6041";"Opp <= 1 ha";2669,631702
"125";"LI_ABH_011_3160_17";"3160";"IV2018022807152484";"LI_ABH_011_3160_17";"LI_ABH_011";"Vincent Smeekens";"2017-06-30";"LI_ABH_011";"hoog";"Normaal";"Atlantisch";"binnen";"44276";"1 ha < Opp <= 5 ha";13921,384739
"126";"LI_BAT_001_3130a_18";"3130_aom";"IV2018090508595162";"LI_BAT_001_3130a_18";"LI_BAT_001";"Kevin Scheers";"2018-08-01";"LI_BAT_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39875,486691
"127";"LI_BAT_001_3160_18";"3160";"IV2018090509082763";"LI_BAT_001_3160_18";"LI_BAT_001";"Kevin Scheers";"2018-08-01";"LI_BAT_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39875,486691
"128";"LI_BBV_001_3130a_18";"3130_aom";"IV2018101612510334";"LI_BBV_001_3130a_18";"LI_BBV_001";"Vincent Smeekens";"2018-09-10";"LI_BBV_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"Opp <= 1 ha";899,419361
"129";"LI_BEG_002_3130a_18";"3130_aom";"IV2018101721472947";"LI_BEG_002_3130a_18";"LI_BEG_002";"Jo Packet";"2018-09-24";"LI_BEG_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_73609";"1 ha < Opp <= 5 ha";10549,089981
"130";"LI_BEG_003_3130a_18";"3130_aom";"IV2018101721305466";"LI_BEG_003_3130a_18";"LI_BEG_003";"Jo Packet";"2018-09-25";"LI_BEG_003";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"Opp <= 1 ha";1561,732288
"131";"LI_BER_001_3130a_18";"3130_aom";"IV2018101206401783";"LI_BER_001_3130a_18";"LI_BER_001";"Vincent Smeekens & Kevin Scheers";"2018-10-05";"LI_BER_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"8276";"5 ha < Opp < 50 ha";150207,242523
"132";"LI_BER_001_3130n_18";"3130_na";"IV2018101206470581";"LI_BER_001_3130n_18";"LI_BER_001";"Vincent Smeekens & Kevin Scheers";"2018-10-05";"LI_BER_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"8276";"5 ha < Opp < 50 ha";150207,242523
"133";"LI_BER_003_3130n_18";"3130_na";"IV2018101715281848";"LI_BER_003_3130n_18";"LI_BER_003";"Vincent Smeekens & Kevin Scheers";"2018-10-17";"LI_BER_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_75903";"1 ha < Opp <= 5 ha";17273,322865
"134";"LI_BER_003_3140_18";"3140";"IV2018101715313167";"LI_BER_003_3140_18";"LI_BER_003";"Vincent Smeekens & Kevin Scheers";"2018-10-17";"LI_BER_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_75903";"1 ha < Opp <= 5 ha";17273,322865
"135";"LI_BER_004_3130a_18";"3130_aom";"IV2018090510275856";"LI_BER_004_3130a_18";"LI_BER_004";"Kevin Scheers";"2018-08-02";"LI_BER_004";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";1592,331173
"136";"LI_BOK_001_3150_18";"3150";"IV2018101515184939";"LI_BOK_001_3150_18";"LI_BOK_001";"Vincent Smeekens";"2018-09-18";"LI_BOK_001";"hoog";"Normaal";"Atlantisch";"binnen";"19961";"Opp <= 1 ha";7373,111309
"137";"LI_BOK_002_3130n_18";"3130_na";"IV2018101612410860";"LI_BOK_002_3130n_18";"LI_BOK_002";"Vincent Smeekens";"2018-10-01";"LI_BOK_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20099";"1 ha < Opp <= 5 ha";35800,909416
"138";"LI_BOK_003_3130n_18";"3130_na";"IV2018101612451289";"LI_BOK_003_3130n_18";"LI_BOK_003";"Vincent Smeekens";"2018-09-18";"LI_BOK_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"18844";"1 ha < Opp <= 5 ha";22321,763317
"139";"LI_BOK_004_3130a_16";"3130_aom";"IV2017072509005921";"LI_BOK_004_3130a_16";"LI_BOK_004";"Vincent Smeekens, Jo P, An L, Kevin S";"2016-09-16";"LI_BOK_004";"hoog";"Normaal";"Atlantisch";"binnen";"18864";"1 ha < Opp <= 5 ha";24757,82822
"140";"LI_BOK_004_3130n_16";"3130_na";"IV2017072508474428";"LI_BOK_004_3130n_16";"LI_BOK_004";"Vincent Smeekens, Jo P, An L, Kevin S";"2016-09-16";"LI_BOK_004";"hoog";"Normaal";"Atlantisch";"binnen";"18864";"1 ha < Opp <= 5 ha";24757,82822
"141";"LI_BOK_006_3130a_16";"3130_aom";"IV2018082108175259";"LI_BOK_006_3130a_16";"LI_BOK_006";"An Leyssen";"2016-09-13";"LI_BOK_006";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20200";"Opp <= 1 ha";6854,46545
"142";"LI_BOK_006_3130n_16";"3130_na";"IV2018082107552331";"LI_BOK_006_3130n_16";"LI_BOK_006";"An Leyssen";"2016-09-13";"LI_BOK_006";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20200";"Opp <= 1 ha";6854,46545
"143";"LI_BOK_007_3130a_17";"3130_aom";"IV2017121312021093";"LI_BOK_007_3130a_17";"LI_BOK_007";"An Leyssen";"2016-09-20";"LI_BOK_007";"hoog";"Normaal";"Atlantisch";"binnen";"BL_75059";"1 ha < Opp <= 5 ha";25272,535984
"144";"LI_BOK_007_3130n_17";"3130_na";"IV2017121311494712";"LI_BOK_007_3130n_17";"LI_BOK_007";"An Leyssen";"2016-09-20";"LI_BOK_007";"hoog";"Normaal";"Atlantisch";"binnen";"BL_75059";"1 ha < Opp <= 5 ha";25272,535984
"145";"LI_BOK_008_3130a_16";"3130_aom";"IV2018082015012770";"LI_BOK_008_3130a_16";"LI_BOK_008";"An Leyssen";"2016-09-20";"LI_BOK_008";"hoog";"Normaal";"Atlantisch";"binnen";"BL_74284";"Opp <= 1 ha";4985,520946
"146";"LI_BOK_008_3130n_16";"3130_na";"IV2018082014440693";"LI_BOK_008_3130n_16";"LI_BOK_008";"An Leyssen";"2016-09-08";"LI_BOK_008";"hoog";"Normaal";"Atlantisch";"binnen";"BL_74284";"Opp <= 1 ha";4985,520946
"147";"LI_DKV_002_3140_17";"3140";"IV2017120813404463";"LI_DKV_002_3140_17";"LI_DKV_002";"Kevin Scheers";"2017-06-27";"LI_DKV_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";152,154621
"148";"LI_DON_002_3130a_17";"3130_aom";"IV2017120707274258";"LI_DON_002_3130a_17";"LI_DON_002";"Vincent Smeekens & Kevin Scheers";"2017-09-22";"LI_DON_002";"hoog";"Normaal";"Atlantisch";"binnen";"16501";"5 ha < Opp < 50 ha";50477,601448
"149";"LI_DON_002_3160_17";"3160";"IV2017120618385593";"LI_DON_002_3160_17";"LI_DON_002";"Vincent Smeekens & Kevin Scheers";"2017-09-22";"LI_DON_002";"hoog";"Normaal";"Atlantisch";"binnen";"16501";"5 ha < Opp < 50 ha";50477,601448
"150";"LI_DON_003_3160_17";"3160";"IV2017120618361898";"LI_DON_003_3160_17";"LI_DON_003";"Vincent Smeekens & Kevin Scheers";"2017-09-22";"LI_DON_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";1484,459328
"151";"LI_EGO_001_3150_18";"3150";"IV2018101721571240";"LI_EGO_001_3150_18";"LI_EGO_001";"Jo Packet";"2018-09-24";"LI_EGO_001";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";95,344122
"152";"LI_HAG_001_3160_18";"3160";"IV2018082315010378";"LI_HAG_001_3160_18";"LI_HAG_001";"Vincent Smeekens";"2018-06-25";"LI_HAG_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_71028";"Opp <= 1 ha";2653,010189
"153";"LI_HAG_002_3130a_18";"3130_aom";"IV2018082215075182";"LI_HAG_002_3130a_18";"LI_HAG_002";"Vincent Smeekens";"2018-06-05";"LI_HAG_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_77951";"Opp <= 1 ha";194,639362
"154";"LI_HAG_003_3160_18";"3160";"IV2018082909343381";"LI_HAG_003_3160_18";"LI_HAG_003";"Vincent Smeekens";"2018-06-25";"LI_HAG_003";"hoog";"Normaal";"Atlantisch";"binnen";"BL_77939";"Opp <= 1 ha";893,817307
"155";"LI_HAG_004_3130a_18";"3130_aom";"IV2018101613004118";"LI_HAG_004_3130a_18";"LI_HAG_004";"Vincent Smeekens";"2018-06-05";"LI_HAG_004";"hoog";"Normaal";"Atlantisch";"binnen";"BL_77944";"Opp <= 1 ha";10156,040855
"156";"LI_HAG_004_3130n_18";"3130_na";"IV2018101612554328";"LI_HAG_004_3130n_18";"LI_HAG_004";"Vincent Smeekens";"2018-06-05";"LI_HAG_004";"matig";"Normaal";"Atlantisch";"binnen";"BL_77944";"Opp <= 1 ha";10156,040855
"157";"LI_HOE_001_3130a_18";"3130_aom";"IV2018090608472872";"LI_HOE_001_3130a_18";"LI_HOE_001";"Kevin Scheers";"2018-08-03";"LI_HOE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";8865,684246
"158";"LI_JUF_001_3130a_18";"3130_aom";"IV2018091311143990";"LI_JUF_001_3130a_18";"LI_JUF_001";"Jo Packet";"2018-08-16";"LI_JUF_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"20155";"1 ha < Opp <= 5 ha";34838,577919
"159";"LI_JUF_001_3130n_18";"3130_na";"IV2018091310241016";"LI_JUF_001_3130n_18";"LI_JUF_001";"Jo Packet";"2018-08-16";"LI_JUF_001";"hoog";NA;"Atlantisch";"binnen";"20155";"1 ha < Opp <= 5 ha";34838,577919
"160";"LI_LAN_008_3150_16";"3150";"IV2017032810192681";"LI_LAN_008_3150_16";"LI_LAN_008";"Vincent Smeekens";"2016-09-22";"LI_LAN_008";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20355";"Opp <= 1 ha";9282,693283
"161";"LI_LOM_001_3130a_18";"3130_aom";"IV2018082712222671";"LI_LOM_001_3130a_18";"LI_LOM_001";"Vincent Smeekens";"2018-07-17";"LI_LOM_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"buiten";"BL_70818";"1 ha < Opp <= 5 ha";11299,603226
"162";"LI_MAT_001_3130n_16";"3130_na";"IV2017032009592467";"LI_MAT_001_3130n_16";"LI_MAT_001";"Vincent Smeekens & Kevin Scheers";"2016-07-28";"LI_MAT_001";"hoog";"Normaal";"Atlantisch";"binnen";"19877";"1 ha < Opp <= 5 ha";33350,516384
"163";"LI_MAT_002_3130a_16";"3130_aom";"IV2017032810082114";"LI_MAT_002_3130a_16";"LI_MAT_002";"Vincent Smeekens";"2016-08-31";"LI_MAT_002";"hoog";"Normaal";"Atlantisch";"binnen";"18510";"1 ha < Opp <= 5 ha";15539,41119
"164";"LI_MAT_002_3130n_16";"3130_na";"IV2017032809570000";"LI_MAT_002_3130n_16";"LI_MAT_002";"Vincent Smeekens";"2016-08-31";"LI_MAT_002";"hoog";"Normaal";"Atlantisch";"binnen";"18510";"1 ha < Opp <= 5 ha";15539,41119
"165";"LI_MAT_002_3140_16";"3140";"IV2017032809493991";"LI_MAT_002_3140_16";"LI_MAT_002";"Vincent Smeekens";"2016-08-31";"LI_MAT_002";"hoog";"Normaal";"Atlantisch";"binnen";"18510";"1 ha < Opp <= 5 ha";15539,41119
"166";"LI_MAT_003_3150_16";"3150";"IV2017032009171774";"LI_MAT_003_3150_16";"LI_MAT_003";"Vincent Smeekens";"2016-08-31";"LI_MAT_003";"hoog";"Normaal";"Atlantisch";"binnen";"19976";"Opp <= 1 ha";2858,853298
"167";"LI_MAT_004_3130n_16";"3130_na";"IV2017042513300849";"LI_MAT_004_3130n_16";"LI_MAT_004";"Vincent Smeekens";"2016-08-30";"LI_MAT_004";"hoog";"Normaal";"Atlantisch";"binnen";"18941";"1 ha < Opp <= 5 ha";15155,190968
"168";"LI_MAT_007_3140_16";"3140";"IV2017042510131430";"LI_MAT_007_3140_16";"LI_MAT_007";"Vincent Smeekens";"2016-07-27";"LI_MAT_007";"hoog";"Normaal";"Atlantisch";"binnen";"20053";"1 ha < Opp <= 5 ha";31704,343483
"169";"LI_MAT_007_3150_16";"3150";"IV2017042510052573";"LI_MAT_007_3150_16";"LI_MAT_007";"Vincent Smeekens";"2016-07-27";"LI_MAT_007";"hoog";"Normaal";"Atlantisch";"binnen";"20053";"1 ha < Opp <= 5 ha";31704,343483
"170";"LI_MAT_009_3130n_16";"3130_na";"IV2017040309190179";"LI_MAT_009_3130n_16";"LI_MAT_009";"Vincent Smeekens & Kevin Scheers";"2016-09-14";"LI_MAT_009";"hoog";"Normaal";"Atlantisch";"binnen";"20348";"1 ha < Opp <= 5 ha";19470,1949
"171";"LI_MAT_011_3130n_18";"3130_na";"IV2018102606574456";"LI_MAT_011_3130n_18";"LI_MAT_011";"Vincent Smeekens";"2018-10-19";"LI_MAT_011";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"18914";"5 ha < Opp < 50 ha";97194,011292
"172";"LI_MAT_012_3130n_18";"3130_na";"IV2018102607035926";"LI_MAT_012_3130n_18";"LI_MAT_012";"Vincent Smeekens";"2018-10-18";"LI_MAT_012";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"19851";"5 ha < Opp < 50 ha";81555,021137
"173";"LI_MEC_001_3160_16";"3160";"IV2017042509374052";"LI_MEC_001_3160_16";"LI_MEC_001";"Vincent Smeekens";"2016-08-26";"LI_MEC_001";"hoog";"Normaal";"Atlantisch";"binnen";"75";"Opp <= 1 ha";3408,070621
"174";"LI_MEC_002_3160_16";"3160";"IV2017042509472815";"LI_MEC_002_3160_16";"LI_MEC_002";"Vincent Smeekens";"2016-08-26";"LI_MEC_002";"hoog";"Normaal";"Atlantisch";"binnen";"106";"1 ha < Opp <= 5 ha";12692,052078
"175";"LI_MLV_002_3130n_18";"3130_na";"IV2018090613583635";"LI_MLV_002_3130n_18";"LI_MLV_002";"Vincent Smeekens";"2018-08-14";"LI_MLV_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20488";"Opp <= 1 ha";6516,441246
"176";"LI_MLV_010_3130a_17";"3130_aom";"IV2017120814183435";"LI_MLV_010_3130a_17";"LI_MLV_010";"Vincent Smeekens";"2017-10-12";"LI_MLV_010";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"19105";"1 ha < Opp <= 5 ha";11163,913715
"177";"LI_MLV_010_3130n_17";"3130_na";"IV2017120814135316";"LI_MLV_010_3130n_17";"LI_MLV_010";"Vincent Smeekens";"2017-10-12";"LI_MLV_010";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"19105";"1 ha < Opp <= 5 ha";11163,913715
"178";"LI_MLV_010_3140_17";"3140";"IV2017120814051602";"LI_MLV_010_3140_17";"LI_MLV_010";"Vincent Smeekens";"2017-10-12";"LI_MLV_010";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"19105";"1 ha < Opp <= 5 ha";11163,913715
"179";"LI_MLV_011_3130n_18";"3130_na";"IV2018091108383153";"LI_MLV_011_3130n_18";"LI_MLV_011";"Vincent Smeekens";"2018-08-30";"LI_MLV_011";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"19955";"1 ha < Opp <= 5 ha";18107,591152
"180";"LI_MLV_014_3130n_18";"3130_na";"IV2018091011515161";"LI_MLV_014_3130n_18";"LI_MLV_014";"Vincent Smeekens";"2018-08-23";"LI_MLV_014";"hoog";"Normaal";"Atlantisch";"binnen";"19111";"5 ha < Opp < 50 ha";146240,797993
"181";"LI_MLV_016_3130a_17";"3130_aom";"IV2017120807201262";"LI_MLV_016_3130a_17";"LI_MLV_016";"Vincent Smeekens";"2017-10-20";"LI_MLV_016";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"56452";"1 ha < Opp <= 5 ha";26730,302193
"182";"LI_MLV_016_3130n_17";"3130_na";"IV2017120807160378";"LI_MLV_016_3130n_17";"LI_MLV_016";"Vincent Smeekens";"2017-10-20";"LI_MLV_016";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"56452";"1 ha < Opp <= 5 ha";26730,302193
"183";"LI_MLV_016_3140_17";"3140";"IV2017120807095988";"LI_MLV_016_3140_17";"LI_MLV_016";"Vincent Smeekens";"2017-10-20";"LI_MLV_016";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"56452";"1 ha < Opp <= 5 ha";26730,302193
"184";"LI_MLV_026_3130a_16";"3130_aom";"IV2018030111095449";"LI_MLV_026_3130a_16";"LI_MLV_026";"An Leyssen";"2016-09-21";"LI_MLV_026";"hoog";"Normaal";"Atlantisch";"binnen";"BL_74552";"Opp <= 1 ha";6589,860851
"185";"LI_MLV_026_3130n_16";"3130_na";"IV2018030111155389";"LI_MLV_026_3130n_16";"LI_MLV_026";"An Leyssen";"2017-09-21";"LI_MLV_026";"hoog";"Normaal";"Atlantisch";"binnen";"BL_74552";"Opp <= 1 ha";6589,860851
"186";"LI_MOB_001_3130n_18";"3130_na";"IV2018090412381639";"LI_MOB_001_3130n_18";"LI_MOB_001";"Kevin Scheers";"2018-08-01";"LI_MOB_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";14332,019806
"187";"LI_MOB_001_3150_18";"3150";"IV2018090412442048";"LI_MOB_001_3150_18";"LI_MOB_001";"Kevin Scheers";"2018-08-01";"LI_MOB_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";14332,019806
"188";"LI_MUN_002_3130n_17";"3130_na";"IV2017121311445717";"LI_MUN_002_3130n_17";"LI_MUN_002";"Vincent Smeekens";"2017-09-18";"LI_MUN_002";"hoog";"Normaal";"Atlantisch";"binnen";"BL_77326";"Opp <= 1 ha";4087,557808
"189";"LI_OPH_005_3160_16";"3160";"IV2017032009392259";"LI_OPH_005_3160_16";"LI_OPH_005";"Vincent Smeekens & Kevin Scheers";"2016-11-03";"LI_OPH_005";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_75582";"Opp <= 1 ha";4847,098099
"190";"LI_OPH_006_3160_16";"3160";"IV2018030115153464";"LI_OPH_006_3160_16";"LI_OPH_006";"Vincent Smeekens, Kevin Scheers & Jo Packet";"2016-09-29";"LI_OPH_006";"hoog";"Normaal";"Atlantisch";"binnen";"BL_75540";"1 ha < Opp <= 5 ha";21733,120079
"191";"LI_PIJ_001_3160_16";"3160";"IV2018030109245054";"LI_PIJ_001_3160_16";"LI_PIJ_001";"Vincent Smeekens";"2016-10-13";"LI_PIJ_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"buiten";"BL_73808";"Opp <= 1 ha";8685,361149
"192";"LI_PIJ_002_3130a_17";"3130_aom";"IV2018083008425607";"LI_PIJ_002_3130a_17";"LI_PIJ_002";"Jo Packet";"2017-08-08";"LI_PIJ_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_73763";"Opp <= 1 ha";2375,23172
"193";"LI_PIJ_002_3160_17";"3160";"IV2018083009021339";"LI_PIJ_002_3160_17";"LI_PIJ_002";"Jo Packet";"2017-08-08";"LI_PIJ_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_73763";"Opp <= 1 ha";2375,23172
"194";"LI_SBB_004_3130n_16";"3130_na";"IV2018082014281713";"LI_SBB_004_3130n_16";"LI_SBB_004";"An Leyssen en Kevin Scheers";"2016-09-27";"LI_SBB_004";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"BL_74590";"1 ha < Opp <= 5 ha";16082,179787
"195";"LI_SBB_005_3130a_16";"3130_aom";"IV2018082013483710";"LI_SBB_005_3130a_16";"LI_SBB_005";"Kevin Scheers en An Leyssen";"2016-09-22";"LI_SBB_005";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";18796,72913
"196";"LI_SBB_005_3160_16";"3160";"IV2018082014043254";"LI_SBB_005_3160_16";"LI_SBB_005";"An Leyssen en Kevin Scheers";"2016-09-22";"LI_SBB_005";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";18796,72913
"197";"LI_SCH_001_3130n_18";"3130_na";"IV2018090509480277";"LI_SCH_001_3130n_18";"LI_SCH_001";"Kevin Scheers";"2018-08-02";"LI_SCH_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";18629,485432
"198";"LI_SLU_001_3130a_18";"3130_aom";"IV2018082911522950";"LI_SLU_001_3130a_18";"LI_SLU_001";"Jo Packet";"2018-08-16";"LI_SLU_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"19233";"1 ha < Opp <= 5 ha";12130,268929
"199";"LI_SLU_001_3130n_18";"3130_na";"IV2018082911514477";"LI_SLU_001_3130n_18";"LI_SLU_001";"Jo Packet";"2018-08-16";"LI_SLU_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";"19233";"1 ha < Opp <= 5 ha";12130,268929
"200";"LI_TEU_004_3130a_17";"3130_aom";"IV2017120708120471";"LI_TEU_004_3130a_17";"LI_TEU_004";"Vincent Smeekens";"2017-08-28";"LI_TEU_004";"hoog";"Normaal";"Atlantisch";"binnen";"BL_75070";"1 ha < Opp <= 5 ha";18060,779244
"201";"LI_TEU_004_3160_17";"3160";"IV2017120708235225";"LI_TEU_004_3160_17";"LI_TEU_004";"Vincent Smeekens";"2017-08-28";"LI_TEU_004";"hoog";"Normaal";"Atlantisch";"binnen";"BL_75070";"1 ha < Opp <= 5 ha";18060,779244
"202";"LI_TEU_005_3130a_17";"3130_aom";"IV2018082012595751";"LI_TEU_005_3130a_17";"LI_TEU_005";"Vincent Smeekens";"2017-08-28";"LI_TEU_005";"hoog";NA;"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";18487,672524
"203";"LI_TEU_005_3160_16";"3160";"IV2018082012413631";"LI_TEU_005_3160_16";"LI_TEU_005";"Kevin Scheers";"2016-10-20";"LI_TEU_005";"hoog";"Normaal";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";18487,672524
"204";"LI_TEU_005_3160_17";"3160";"IV2018082008201439";"LI_TEU_005_3160_17";"LI_TEU_005";"Vincent Smeekens";"2017-08-28";"LI_TEU_005";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";18487,672524
"205";"LI_TOM_001_3150_17";"3150";"IV2018030208224229";"LI_TOM_001_3150_17";"LI_TOM_001";"Vincent Smeekens";"2017-08-01";"LI_TOM_001";"hoog";"Normaal";"Atlantisch";"buiten";NA;"Opp <= 1 ha";103,608997
"206";"LI_TOM_002_3130a_17";"3130_aom";"IV2018022808440555";"LI_TOM_002_3130a_17";"LI_TOM_002";"Vincent Smeekens";"2017-10-02";"LI_TOM_002";"hoog";"Normaal";"Atlantisch";"buiten";NA;"Opp <= 1 ha";164,589863
"207";"LI_TOM_002_3150_17";"3150";"IV2018022808380131";"LI_TOM_002_3150_17";"LI_TOM_002";"Vincent Smeekens";"2017-10-02";"LI_TOM_002";"hoog";"Normaal";"Atlantisch";"buiten";NA;"Opp <= 1 ha";164,589863
"208";"LI_VZB_001_3160_17";"3160";"IV2018022811445956";"LI_VZB_001_3160_17";"LI_VZB_001";"Vincent Smeekens";"2017-10-18";"LI_VZB_001";"hoog";"Normaal";"Atlantisch";"binnen";"50853";"Opp <= 1 ha";670,039509
"209";"LI_VZB_002_3160_18";"3160";"IV2018082409480563";"LI_VZB_002_3160_18";"LI_VZB_002";"Kevin Scheers en Vincent Smeekens";"2018-06-28";"LI_VZB_002";"hoog";"Normaal";"Atlantisch";"binnen";"56130";"Opp <= 1 ha";5914,604641
"210";"LI_VZB_003_3130a_18";"3130_aom";"IV2018082808303101";"LI_VZB_003_3130a_18";"LI_VZB_003";"An Leyssen en Vincent Smeekens";"2018-07-19";"LI_VZB_003";"hoog";"Normaal";"Atlantisch";"binnen";"BL_73573";"1 ha < Opp <= 5 ha";23421,008411
"211";"LI_VZB_003_3160_18";"3160";"IV2018082808454134";"LI_VZB_003_3160_18";"LI_VZB_003";"An Leyssen en Vincent Smeekens";"2018-07-19";"LI_VZB_003";"hoog";"Normaal";"Atlantisch";"binnen";"BL_73573";"1 ha < Opp <= 5 ha";23421,008411
"212";"LI_VZB_005_3130a_18";"3130_aom";"IV2018082412023259";"LI_VZB_005_3130a_18";"LI_VZB_005";"Kevin Scheers en Vincent Smeekens";"2018-06-28";"LI_VZB_005";"hoog";"Normaal";"Atlantisch";"binnen";"54450";"1 ha < Opp <= 5 ha";26090,677879
"213";"LI_VZB_005_3160_18";"3160";"IV2018082412304466";"LI_VZB_005_3160_18";"LI_VZB_005";"Kevin Scheers en Vincent Smeekens";"2018-06-28";"LI_VZB_005";"hoog";"Normaal";"Atlantisch";"binnen";"54450";"1 ha < Opp <= 5 ha";26090,677879
"214";"LI_VZB_007_3160_18";"3160";"IV2018082408132366";"LI_VZB_007_3160_18";"LI_VZB_007";"Vincent Smeekens en Kevin Scheers";"2018-06-29";"LI_VZB_007";"hoog";"Normaal";"Atlantisch";"binnen";"54513";"1 ha < Opp <= 5 ha";15332,035454
"215";"LI_VZB_008_3160_16";"3160";"IV2017042511032923";"LI_VZB_008_3160_16";"LI_VZB_008";"Vincent Smeekens";"2016-09-26";"LI_VZB_008";"hoog";"Normaal";"Atlantisch";"binnen";"BL_73620";"Opp <= 1 ha";2604,42601
"216";"LI_WIK_002_3130a_16";"3130_aom";"IV2017120708015628";"LI_WIK_002_3130a_16";"LI_WIK_002";"Vincent Smeekens";"2016-07-25";"LI_WIK_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20023";"Opp <= 1 ha";5520,877754
"217";"LI_WIK_005_3130a_16";"3130_aom";"IV2017062909012541";"LI_WIK_005_3130a_16";"LI_WIK_005";"Vincent Smeekens";"2016-08-04";"LI_WIK_005";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20118";"1 ha < Opp <= 5 ha";10273,098244
