"IDPlots";"Habitattype";"X_coord";"Y_coord";"SBZH";"Regio";"HabCode";"ID";"Date";"Jaar";"PlotWeight";"StratumWeight";"WeightComb"
"ZSCPQ176";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411101491";"2013-10-18";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ176";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101312091315";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ177";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411130087";"2013-10-18";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ177";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101313400263";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ178";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411161844";"2013-10-18";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ178";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101313450186";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ179";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411195942";"2013-10-18";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ179";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101313542398";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ180";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411342143";"2013-10-19";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ180";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101313590723";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ181";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411471814";"2013-10-19";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ181";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101314090977";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ182";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411513397";"2013-10-19";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ182";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101314161906";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ183";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030411544520";"2013-10-19";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ183";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101314244127";"1995-10-06";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ184";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030314392874";"2013-10-16";2013;1;1,63283582089552;1,63283582089552
"ZSCPQ184";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014101314403398";"1995-10-09";1995;1;1,63283582089552;1,63283582089552
"ZSCPQ185";"1330_da";NA;NA;"Binnen";"Atlantic";"1330_da";"IV2014030314421473";"2013-10-16";2013;1;1,63283582089552;1,63283582089552
