"";"CodeLocatie";"Habitattype";"Meetnet";"datum";"Versie";"aantal groeivormen";"aantal sleutelsoorten frequent";"aantal sleutelsoorten laag-abundant";"bedekking eutrofiëring";"bedekking helofyten";"bedekking invasieve exoten";"grootste vegetatievlek in m²"
"23";"Dommel_01";"3260";"MonitoringINBO_H3260";2016-08-05;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"24";"Dommel_01";"3260";"MonitoringINBO_H3260";2016-08-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"25";"Dommel_03";"3260";"MonitoringINBO_H3260";2016-08-05;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"26";"Dommel_03";"3260";"MonitoringINBO_H3260";2016-08-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"27";"Dommel_05";"3260";"MonitoringINBO_H3260";2015-06-25;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"28";"Dommel_05";"3260";"MonitoringINBO_H3260";2015-06-25;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"29";"Dommel_08";"3260";"MonitoringINBO_H3260";2016-08-08;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"30";"Dommel_08";"3260";"MonitoringINBO_H3260";2016-08-08;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"31";"Dommel_09";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"32";"Dommel_09";"3260";"MonitoringINBO_H3260";2017-07-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"33";"Dommel_10";"3260";"MonitoringINBO_H3260";2016-08-05;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"34";"Dommel_10";"3260";"MonitoringINBO_H3260";2016-08-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"35";"DommelMeander8";"3260";"overige";2015-07-09;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"36";"DommelMeander8";"3260";"overige";2015-07-09;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"37";"DommelTsnMeander5en6";"3260";"overige";2015-07-09;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"38";"DommelTsnMeander5en6";"3260";"overige";2015-07-09;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"39";"DommelWulp";"3260";"overige";2015-07-09;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"40";"DommelWulp";"3260";"overige";2015-07-09;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"41";"GouLo_03";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"42";"GouLo_03";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"43";"GouLo_04";"3260";"MonitoringINBO_H3260";2017-07-13;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"44";"GouLo_04";"3260";"MonitoringINBO_H3260";2017-07-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"45";"GouLo_05";"3260";"MonitoringINBO_H3260";2017-07-13;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"46";"GouLo_05";"3260";"MonitoringINBO_H3260";2017-07-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"47";"GouLo_08";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"48";"GouLo_08";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"49";"GouLo_09";"3260";"MonitoringINBO_H3260";2017-07-13;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"50";"GouLo_09";"3260";"MonitoringINBO_H3260";2017-07-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"51";"GouLo_12";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 2.0";TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA
"52";"GouLo_12";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 3";NA;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
"53";"GroNe_10";"3260";"MonitoringINBO_H3260";2017-06-02;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"54";"GroNe_10";"3260";"MonitoringINBO_H3260";2017-06-02;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"55";"IttBe_01";"3260";"MonitoringINBO_H3260";2016-07-27;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"56";"IttBe_01";"3260";"MonitoringINBO_H3260";2016-07-27;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
"57";"KaaBe_01";"3260";"MonitoringINBO_H3260";2016-08-11;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"58";"KaaBe_01";"3260";"MonitoringINBO_H3260";2016-08-11;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"59";"KleNe_03";"3260";"MonitoringINBO_H3260";2017-07-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"60";"KleNe_03";"3260";"MonitoringINBO_H3260";2017-07-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"61";"KleNe_06";"3260";"MonitoringINBO_H3260";2015-06-26;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"62";"KleNe_06";"3260";"MonitoringINBO_H3260";2015-06-26;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"63";"LimnBerwijn";"3260";"overige";2015-07-13;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"64";"LimnBerwijn";"3260";"overige";2015-07-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"65";"LimnDommel";"3260";"overige";2015-07-09;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"66";"LimnDommel";"3260";"overige";2015-07-09;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"67";"LimnGroteNete";"3260";"overige";2015-08-13;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"68";"LimnGroteNete";"3260";"overige";2015-08-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"69";"LimnKleineNete";"3260";"overige";2015-08-13;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"70";"LimnKleineNete";"3260";"overige";2015-08-13;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
"71";"LoeNe_01";"3260";"MonitoringINBO_H3260";2015-07-06;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"72";"LoeNe_01";"3260";"MonitoringINBO_H3260";2015-07-06;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"73";"Maas_08";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"74";"Maas_08";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"75";"Maas_09";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;FALSE;NA
"76";"Maas_09";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"77";"Maas_10";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"78";"Maas_10";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"79";"Maas_11";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"80";"Maas_11";"3260";"MonitoringINBO_H3260";2017-09-05;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"81";"Maas_18";"3260";"MonitoringINBO_H3260";2017-08-21;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"82";"Maas_18";"3260";"MonitoringINBO_H3260";2017-08-21;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"83";"Maas_19";"3260";"MonitoringINBO_H3260";2017-08-21;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;FALSE;NA
"84";"Maas_19";"3260";"MonitoringINBO_H3260";2017-08-21;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"85";"MunLo_01";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"86";"MunLo_01";"3260";"MonitoringINBO_H3260";2016-08-19;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
"87";"NooMa_02";"3260";"MonitoringINBO_H3260";2015-06-18;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"88";"NooMa_02";"3260";"MonitoringINBO_H3260";2015-06-18;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
"89";"NooMa_02_4";"3260";"overige";2015-06-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"90";"NooMa_02_4";"3260";"overige";2015-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"91";"NooMa_02_5";"3260";"overige";2015-06-18;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"92";"NooMa_02_5";"3260";"overige";2015-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"93";"NooMa_02_7";"3260";"overige";2015-06-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"94";"NooMa_02_7";"3260";"overige";2015-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
"95";"SchNe_01";"3260";"MonitoringINBO_H3260";2016-08-04;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"96";"SchNe_01";"3260";"MonitoringINBO_H3260";2016-08-04;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"97";"SchNe_02";"3260";"MonitoringINBO_H3260";2016-08-26;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"98";"SchNe_02";"3260";"MonitoringINBO_H3260";2016-08-26;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
"99";"SchNe_03";"3260";"MonitoringINBO_H3260";2017-06-02;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"100";"SchNe_03";"3260";"MonitoringINBO_H3260";2017-06-02;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE
"101";"SchNe_04";"3260";"MonitoringINBO_H3260";2017-05-17;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"102";"SchNe_04";"3260";"MonitoringINBO_H3260";2017-05-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"103";"SchNe_04";"3260";"MonitoringINBO_H3260";2017-08-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"104";"SchNe_04";"3260";"MonitoringINBO_H3260";2017-08-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"105";"SchNe_05";"3260";"MonitoringINBO_H3260";2017-05-19;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"106";"SchNe_05";"3260";"MonitoringINBO_H3260";2017-05-19;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"107";"SchNe_05";"3260";"MonitoringINBO_H3260";2017-08-17;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"108";"SchNe_05";"3260";"MonitoringINBO_H3260";2017-08-17;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"109";"Stiemer_01";"3260";"MonitoringINBO_H3260";2015-06-25;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"110";"Stiemer_01";"3260";"MonitoringINBO_H3260";2015-06-25;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
"111";"TR100400.1";"3260";"monitoringVMM_KRW";2013-06-14;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"112";"TR100400.1";"3260";"monitoringVMM_KRW";2013-06-14;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"113";"TR100400.2";"3260";"monitoringVMM_KRW";2013-06-14;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"114";"TR100400.2";"3260";"monitoringVMM_KRW";2013-06-14;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"115";"TR100400.4";"3260";"monitoringVMM_KRW";2013-06-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"116";"TR100400.4";"3260";"monitoringVMM_KRW";2013-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"117";"TR100400.6";"3260";"monitoringVMM_KRW";2013-06-18;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"118";"TR100400.6";"3260";"monitoringVMM_KRW";2013-06-18;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA
"119";"TR102500.1";"3260";"monitoringVMM_KRW";2013-06-11;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"120";"TR102500.1";"3260";"monitoringVMM_KRW";2013-06-11;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"121";"TR102500.1";"3260";"monitoringVMM_KRW";2016-07-06;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"122";"TR102500.1";"3260";"monitoringVMM_KRW";2016-07-06;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"123";"TR102500.2";"3260";"monitoringVMM_KRW";2013-06-11;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"124";"TR102500.2";"3260";"monitoringVMM_KRW";2013-06-11;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA
"125";"TR102500.2";"3260";"monitoringVMM_KRW";2016-07-06;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"126";"TR102500.2";"3260";"monitoringVMM_KRW";2016-07-06;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA
"127";"TR102500.4";"3260";"monitoringVMM_KRW";2013-06-11;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"128";"TR102500.4";"3260";"monitoringVMM_KRW";2013-06-11;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA
"129";"TR102500.4";"3260";"monitoringVMM_KRW";2016-07-06;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"130";"TR102500.4";"3260";"monitoringVMM_KRW";2016-07-06;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA
"131";"TR115000.2";"3260";"monitoringVMM_KRW";2014-07-23;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"132";"TR115000.2";"3260";"monitoringVMM_KRW";2014-07-23;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"133";"TR115000.4";"3260";"monitoringVMM_KRW";2014-07-23;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"134";"TR115000.4";"3260";"monitoringVMM_KRW";2014-07-23;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"135";"TR125000.A";"3260";"monitoringVMM_KRW";2013-08-21;"Versie 2.0";FALSE;FALSE;NA;TRUE;FALSE;TRUE;NA
"136";"TR125000.A";"3260";"monitoringVMM_KRW";2013-08-21;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;TRUE;NA
"137";"TR147000.1";"3260";"monitoringVMM_KRW";2013-09-26;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"138";"TR147000.1";"3260";"monitoringVMM_KRW";2013-09-26;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA
"139";"TR147000.2";"3260";"monitoringVMM_KRW";2013-09-26;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"140";"TR147000.2";"3260";"monitoringVMM_KRW";2013-09-26;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA
"141";"TR147000.3";"3260";"monitoringVMM_KRW";2013-09-26;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"142";"TR147000.3";"3260";"monitoringVMM_KRW";2013-09-26;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"143";"TR152500.1";"3260";"monitoringVMM_KRW";2013-08-27;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"144";"TR152500.1";"3260";"monitoringVMM_KRW";2013-08-27;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"145";"TR152500.1";"3260";"monitoringVMM_KRW";2017-09-13;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"146";"TR152500.1";"3260";"monitoringVMM_KRW";2017-09-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"147";"TR152500.2";"3260";"monitoringVMM_KRW";2013-08-27;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"148";"TR152500.2";"3260";"monitoringVMM_KRW";2013-08-27;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;TRUE;NA
"149";"TR152500.2";"3260";"monitoringVMM_KRW";2017-09-13;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"150";"TR152500.2";"3260";"monitoringVMM_KRW";2017-09-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"151";"TR152500.3";"3260";"monitoringVMM_KRW";2013-08-27;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"152";"TR152500.3";"3260";"monitoringVMM_KRW";2013-08-27;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"153";"TR152500.3";"3260";"monitoringVMM_KRW";2017-09-13;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"154";"TR152500.3";"3260";"monitoringVMM_KRW";2017-09-13;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"155";"TR182200.3";"3260";"monitoringVMM_KRW";2015-07-14;"Versie 2.0";TRUE;FALSE;NA;TRUE;TRUE;TRUE;NA
"156";"TR182200.3";"3260";"monitoringVMM_KRW";2015-07-14;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"157";"TR182680.2";"3260";"monitoringVMM_KRW";2015-06-10;"Versie 2.0";FALSE;TRUE;NA;FALSE;TRUE;TRUE;NA
"158";"TR182680.2";"3260";"monitoringVMM_KRW";2015-06-10;"Versie 3";NA;TRUE;TRUE;FALSE;TRUE;FALSE;NA
"159";"TR185200.2";"3260";"monitoringVMM_KRW";2015-06-30;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"160";"TR185200.2";"3260";"monitoringVMM_KRW";2015-06-30;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"161";"TR190870.1";"3260";"monitoringVMM_KRW";2013-07-30;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"162";"TR190870.1";"3260";"monitoringVMM_KRW";2013-07-30;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"163";"TR216000.2";"3260";"monitoringVMM_KRW";2016-08-18;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"164";"TR216000.2";"3260";"monitoringVMM_KRW";2016-08-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"165";"TR216000.3";"3260";"monitoringVMM_KRW";2016-08-18;"Versie 2.0";FALSE;TRUE;NA;TRUE;TRUE;TRUE;NA
"166";"TR216000.3";"3260";"monitoringVMM_KRW";2016-08-18;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"167";"TR262200.1";"3260";"monitoringVMM_KRW";2013-07-22;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;FALSE;NA
"168";"TR262200.1";"3260";"monitoringVMM_KRW";2013-07-22;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA
"169";"TR262200.1";"3260";"monitoringVMM_KRW";2016-08-17;"Versie 2.0";TRUE;FALSE;NA;TRUE;FALSE;TRUE;NA
"170";"TR262200.1";"3260";"monitoringVMM_KRW";2016-08-17;"Versie 3";NA;FALSE;FALSE;TRUE;FALSE;FALSE;NA
"171";"TR262200.2";"3260";"monitoringVMM_KRW";2013-07-22;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"172";"TR262200.2";"3260";"monitoringVMM_KRW";2013-07-22;"Versie 3";NA;FALSE;TRUE;TRUE;TRUE;FALSE;NA
"173";"TR274000.1";"3260";"monitoringVMM_KRW";2013-07-18;"Versie 2.0";TRUE;FALSE;NA;FALSE;TRUE;TRUE;NA
"174";"TR274000.1";"3260";"monitoringVMM_KRW";2013-07-18;"Versie 3";NA;FALSE;FALSE;FALSE;FALSE;FALSE;NA
"175";"TR274000.2";"3260";"monitoringVMM_KRW";2013-07-18;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA
"176";"TR274000.2";"3260";"monitoringVMM_KRW";2013-07-18;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA
"177";"TR274000.3";"3260";"monitoringVMM_KRW";2013-07-18;"Versie 2.0";TRUE;TRUE;NA;TRUE;FALSE;TRUE;NA
"178";"TR274000.3";"3260";"monitoringVMM_KRW";2013-07-18;"Versie 3";NA;FALSE;TRUE;TRUE;FALSE;TRUE;NA
"179";"TR274000.3";"3260";"monitoringVMM_KRW";2016-08-23;"Versie 2.0";FALSE;FALSE;NA;TRUE;TRUE;TRUE;NA
"180";"TR274000.3";"3260";"monitoringVMM_KRW";2016-08-23;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;TRUE;NA
"181";"TR276700.1";"3260";"monitoringVMM_KRW";2013-07-17;"Versie 2.0";TRUE;TRUE;NA;FALSE;FALSE;TRUE;NA
"182";"TR276700.1";"3260";"monitoringVMM_KRW";2013-07-17;"Versie 3";NA;FALSE;TRUE;FALSE;FALSE;FALSE;NA
"183";"TR276700.1";"3260";"monitoringVMM_KRW";2016-08-23;"Versie 2.0";TRUE;TRUE;NA;TRUE;TRUE;TRUE;NA
"184";"TR276700.1";"3260";"monitoringVMM_KRW";2016-08-23;"Versie 3";NA;FALSE;FALSE;TRUE;TRUE;FALSE;NA
