"";"ID";"Habitattype";"RecordingGivid";"UserReference";"LocationCode";"Observer";"VagueDateBegin";"Kolom1";"Betrouwbaarheid";"Waterpeil";"Regio";"SBZH";"ID_Plas";"OppKl";"Oppervlakte_plas";"Versie";"Habitattype.y";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"EenheidRefwaarde";"TypeRefwaarde";"InvoertypeRevwaarde";"TypeWaarde";"InvoertypeWaarde";"EenheidWaarde";"Waarde";"AfkomstWaarde";"TheoretischMaximum";"Status_voorwaarde";"Verschilscore"
"11";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";235;"2399 OR 2385";2385;"voor diepe plassen : Secchi-diepte in m";"3.2";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"6.5";"observatie";NA;TRUE;NA
"12";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m<U+00B2>";1;"zb";239;"2094";2094;"grootste vegetatievlek in m²";"1";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"15";"observatie";NA;TRUE;NA
"13";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Structuur";"oeverzone ZW-zijde";"B: < 2 maal de hoogte van de bomen";1;"b";238;"1856";1856;"bomen tot op de oever";"0";"=";NA;"Ja/nee";NA;"Ja/nee";NA;NA;"1";"observatie";NA;FALSE;NA
"14";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Vegetatie";"sleutelsoorten";"B: 1 of 2 sleutelsoorten (uitgezonderd Moerashertshooi en Vlottende bies) minstens frequent aanwezig";1;"b";247;"415";415;"aantal sleutelsoorten ex vl bies moerashertshooi";"1";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"3";"berekend";13;TRUE;0,166666666666667
"15";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"eutrofiëring";"B: 5 - <10 %";1;"zb";1306;"751";751;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"2";"observatie";100;TRUE;0,8
"16";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"invasieve exoten";"B: < 10 %";1;"zb";243;"871";871;"bedekking invasieve exoten";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"15";"observatie";100;FALSE;-0,0555555555555555
"17";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"vergrassing";"B: 10-30 %";1;"zb";242;"1492";1492;"bedekking vergrassing";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"0";"observatie";100;TRUE;1
"18";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"verzuring";"B: 10-30 %";1;"zb";246;"1843";1843;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,983333333333333
"19";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m<U+00B2>";1;"zb";255;"2105";2105;"grootste vegetatievlek in m²";"1";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"5";"observatie";NA;TRUE;NA
"20";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Structuur";"verticale structuur";"B: < 30 % van de oever begroeid met opgaande vegetatie";1;"zb";258;"1";1;"% begroeid met opgaande vegetatie";"30";"<";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,983333333333333
"21";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Vegetatie";"sleutelsoorten";"B: 1 of 2 sleutelsoorten (uitgezonderd Borstelbies, glaskroos en Naaldwaterbies) minstens frequent aanwezig";1;"b";254;"417";417;"aantal sleutelsoorten excl";"1";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"0";"berekend";10;FALSE;-1
"22";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"eutrofiëring";"B: 5 - <10 %";1;"zb";1307;"754";754;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,95
"23";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"invasieve exoten";"B: < 10 %";1;"zb";250;"817";817;"bedekking invasieve exoten";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"15";"observatie";100;FALSE;-0,0555555555555555
"24";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"vergrassing";"B: 10-30 %";1;"zb";251;"1490";1490;"bedekking vergrassing";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"0";"observatie";100;TRUE;1
"25";"AN_ARE_001_3130n_18";"3130_na";"IV2018101006000237";"AN_ARE_001_3130n_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Verstoring";"verzuring";"B: 10-30 %";1;"zb";259;"1835";1835;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,983333333333333
"26";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";271;"2396 OR 2388";2396;"voor ondiepe plassen: Secchi-diepte in m";"1.5";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"0.24";"observatie";NA;FALSE;NA
"27";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";271;"2396 OR 2388";2388;"voor diepe plassen : Secchi-diepte in m";"3.2";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"0";"observatie";NA;FALSE;NA
"28";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m<U+00B2>";1;"zb";275;"2107";2107;"grootste vegetatievlek in m²";"1";">";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"5";"observatie";NA;TRUE;NA
"29";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Vegetatie";"sleutelsoorten";"B: 1 sleutelsoort minstens abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";274;"409 OR 444";409;"aantal sleutelsoorten abundant";"1";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"1";"berekend";10;TRUE;0
"30";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Vegetatie";"sleutelsoorten";"B: 1 sleutelsoort minstens abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";274;"409 OR 444";444;"aantal sleutelsoorten frequent";"2";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"1";"berekend";10;FALSE;-0,5
"31";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Verstoring";"eutrofiëring";"B: 10-30 %";1;"zb";1311;"713";713;"bedekking eutrofiëring";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"1";"observatie";100;TRUE;0,966666666666667
"32";"AN_BAS_001_3150_17";"3150";"IV2018082010271159";"AN_BAS_001_3150_17";"AN_BAS_001";"Jo Packet";"2017-10-09";"AN_BAS_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_16954";"1 ha < Opp <= 5 ha";25126,518047;"Versie 2.0";"3150";"Verstoring";"invasieve exoten";"B: < 10 %";1;"zb";270;"825";825;"bedekking invasieve exoten";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"0";"observatie";100;TRUE;1
"33";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";235;"2399 OR 2385";2399;"voor ondiepe plassen: Secchi-diepte in m";"1.5";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"4";"observatie";NA;TRUE;NA
"34";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";235;"2399 OR 2385";2385;"voor diepe plassen : Secchi-diepte in m";"3.2";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"0";"observatie";NA;FALSE;NA
"35";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m<U+00B2>";1;"zb";239;"2094";2094;"grootste vegetatievlek in m²";"1";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"0.5";"observatie";NA;FALSE;NA
"36";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Structuur";"oeverzone ZW-zijde";"B: < 2 maal de hoogte van de bomen";1;"b";238;"1856";1856;"bomen tot op de oever";"0";"=";NA;"Ja/nee";NA;"Ja/nee";NA;NA;"0";"observatie";NA;TRUE;NA
"37";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Vegetatie";"sleutelsoorten";"B: 1 of 2 sleutelsoorten (uitgezonderd Moerashertshooi en Vlottende bies) minstens frequent aanwezig";1;"b";247;"415";415;"aantal sleutelsoorten ex vl bies moerashertshooi";"1";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"0";"berekend";13;FALSE;-1
"38";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Verstoring";"eutrofiëring";"B: 5 - <10 %";1;"zb";1306;"751";751;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"25";"observatie";100;FALSE;-0,166666666666667
"39";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Verstoring";"invasieve exoten";"B: < 10 %";1;"zb";243;"871";871;"bedekking invasieve exoten";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,95
"40";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Verstoring";"vergrassing";"B: 10-30 %";1;"zb";242;"1492";1492;"bedekking vergrassing";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,983333333333333
"41";"AN_BEE_001_3130a_16";"3130_aom";"IV2017032010360108";"AN_BEE_001_3130a_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Verstoring";"verzuring";"B: 10-30 %";1;"zb";246;"1843";1843;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"40";"observatie";100;FALSE;-0,142857142857143
"42";"AN_BEE_001_3130n_16";"3130_na";"IV2017032010205954";"AN_BEE_001_3130n_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m<U+00B2>";1;"zb";255;"2105";2105;"grootste vegetatievlek in m²";"1";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"15";"observatie";NA;TRUE;NA
"43";"AN_BEE_001_3130n_16";"3130_na";"IV2017032010205954";"AN_BEE_001_3130n_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Structuur";"verticale structuur";"B: < 30 % van de oever begroeid met opgaande vegetatie";1;"zb";258;"1";1;"% begroeid met opgaande vegetatie";"30";"<";"%";"Percentage";NA;"Percentage";NA;"%";"1";"observatie";100;TRUE;0,966666666666667
"44";"AN_BEE_001_3130n_16";"3130_na";"IV2017032010205954";"AN_BEE_001_3130n_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Vegetatie";"sleutelsoorten";"B: 1 of 2 sleutelsoorten (uitgezonderd Borstelbies, glaskroos en Naaldwaterbies) minstens frequent aanwezig";1;"b";254;"417";417;"aantal sleutelsoorten excl";"1";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"0";"berekend";10;FALSE;-1
"45";"AN_BEE_001_3130n_16";"3130_na";"IV2017032010205954";"AN_BEE_001_3130n_16";"AN_BEE_001";"Vincent Smeekens";"2016-10-20";"AN_BEE_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"15537";"Opp <= 1 ha";6431,654903;"Versie 2.0";"3130";"Verstoring";"eutrofiëring";"B: 5 - <10 %";1;"zb";1307;"754";754;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"20";"observatie";100;FALSE;-0,111111111111111
