"ID";"Habitattype";"Habitatsubtype";"Versie";"OppKl";"Oppervlakte_plas";"SBZH";"Regio";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"AN_BEE_002_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";629,578564;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_BGO_001_3130a_17";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";4787,599815;"binnen";"Atlantisch";6;8;0;75;1
"AN_BGO_001_3130a_17";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";4787,599815;"binnen";"Atlantisch";3;6;2;50;0
"AN_BGO_001_3130n_17";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";4787,599815;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_BGO_001_3130n_17";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";4787,599815;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_BGO_001_3150_17";"3150";"3150";"Versie 2.0";"Opp <= 1 ha";4787,599815;"binnen";"Atlantisch";4;5;0;80;1
"AN_BGO_001_3150_17";"3150";"3150";"Versie 3";"Opp <= 1 ha";4787,599815;"binnen";"Atlantisch";4;5;1;80;0
"AN_BGO_002_3130a_17";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";8;8;0;100;1
"AN_BGO_002_3130a_17";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_BGO_002_3130n_17";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";6;7;0;85,7142857142857;1
"AN_BGO_002_3130n_17";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";3;6;2;50;0
"AN_BGO_002_3140_17";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";4;5;1;80;0
"AN_BGO_002_3140_17";"3140";"3140";"Versie 3";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";2;5;3;40;0
"AN_BGO_002_3160_17";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";4;6;0;66,6666666666667;1
"AN_BGO_002_3160_17";"3160";"3160";"Versie 3";"Opp <= 1 ha";5631,651554;"binnen";"Atlantisch";3;5;1;60;0
"AN_BLA_001_3130a_17";"3130";"3130_aom";"Versie 2.0";"1 ha < Opp <= 5 ha";19186,151005;"binnen";"Atlantisch";5;8;0;62,5;1
"AN_BLA_001_3130a_17";"3130";"3130_aom";"Versie 3";"1 ha < Opp <= 5 ha";19186,151005;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_BLA_001_3130n_17";"3130";"3130_na";"Versie 2.0";"1 ha < Opp <= 5 ha";19186,151005;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_BLA_001_3130n_17";"3130";"3130_na";"Versie 3";"1 ha < Opp <= 5 ha";19186,151005;"binnen";"Atlantisch";3;6;2;50;0
"AN_BOG_001_3130a_17";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";65589,871109;"binnen";"Atlantisch";5;8;1;62,5;0
"AN_BOG_001_3130a_17";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";65589,871109;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_BOG_001_3130n_17";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";65589,871109;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_BOG_001_3130n_17";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";65589,871109;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_DEB_001_3130a_18";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";6362,441292;"buiten";"Atlantisch";6;8;0;75;1
"AN_DEB_001_3130a_18";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";6362,441292;"buiten";"Atlantisch";3;6;2;50;0
"AN_DES_004_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";8308,914497;"binnen";"Atlantisch";8;8;0;100;1
"AN_DES_004_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";8308,914497;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_DES_004_3160_16";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";8308,914497;"binnen";"Atlantisch";4;6;0;66,6666666666667;1
"AN_DES_004_3160_16";"3160";"3160";"Versie 3";"Opp <= 1 ha";8308,914497;"binnen";"Atlantisch";3;5;1;60;0
"AN_DVH_001_3130n_18";"3130";"3130_na";"Versie 2.0";"1 ha < Opp <= 5 ha";33767,012237;"binnen";"Atlantisch";6;7;0;85,7142857142857;1
"AN_DVH_001_3130n_18";"3130";"3130_na";"Versie 3";"1 ha < Opp <= 5 ha";33767,012237;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_DVH_003_3130n_16";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";9335,065559;"binnen";"Atlantisch";4;7;2;57,1428571428571;0
"AN_DVH_003_3130n_16";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";9335,065559;"binnen";"Atlantisch";3;6;2;50;0
"AN_DVH_004_3130n_16";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";465,13797;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_DVH_004_3130n_16";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";465,13797;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_DVH_004_3140_16";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";465,13797;"binnen";"Atlantisch";5;5;0;100;1
"AN_DVH_004_3140_16";"3140";"3140";"Versie 3";"Opp <= 1 ha";465,13797;"binnen";"Atlantisch";4;5;1;80;0
"AN_DVH_005_3130a_18";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";70921,570164;"binnen";"Atlantisch";6;8;0;75;1
"AN_DVH_005_3130a_18";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";70921,570164;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_DVH_005_3130n_18";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";70921,570164;"binnen";"Atlantisch";6;7;0;85,7142857142857;1
"AN_DVH_005_3130n_18";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";70921,570164;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_DVH_007_3130n_17";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";2712,651581;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_DVH_007_3130n_17";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";2712,651581;"binnen";"Atlantisch";3;6;2;50;0
"AN_E10_001_3130a_18";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";76612,67963;"buiten";"Atlantisch";5;8;1;62,5;0
"AN_E10_001_3130a_18";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";76612,67963;"buiten";"Atlantisch";3;6;2;50;0
"AN_E10_001_3130n_18";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";76612,67963;"buiten";"Atlantisch";5;7;1;71,4285714285714;0
"AN_E10_001_3130n_18";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";76612,67963;"buiten";"Atlantisch";3;6;2;50;0
"AN_E10_001_3140_18";"3140";"3140";"Versie 2.0";"5 ha < Opp < 50 ha";76612,67963;"buiten";"Atlantisch";3;5;1;60;0
"AN_E10_001_3140_18";"3140";"3140";"Versie 3";"5 ha < Opp < 50 ha";76612,67963;"buiten";"Atlantisch";2;5;2;40;0
"AN_E10_002_3130a_18";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";275122,541382;"binnen";"Atlantisch";6;8;0;75;1
"AN_E10_002_3130a_18";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";275122,541382;"binnen";"Atlantisch";3;6;2;50;0
"AN_E10_002_3150_18";"3150";"3150";"Versie 2.0";"5 ha < Opp < 50 ha";275122,541382;"binnen";"Atlantisch";3;5;0;60;1
"AN_E10_002_3150_18";"3150";"3150";"Versie 3";"5 ha < Opp < 50 ha";275122,541382;"binnen";"Atlantisch";3;5;1;60;0
"AN_ENK_001_3160_18";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";6990,273334;"binnen";"Atlantisch";3;6;2;50;0
"AN_ENK_001_3160_18";"3160";"3160";"Versie 3";"Opp <= 1 ha";6990,273334;"binnen";"Atlantisch";2;5;2;40;0
"AN_ENK_002_3130a_18";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";4774,786533;"binnen";"Atlantisch";5;8;2;62,5;0
"AN_ENK_002_3130a_18";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";4774,786533;"binnen";"Atlantisch";1;6;4;16,6666666666667;0
"AN_ENK_002_3160_18";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";4774,786533;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_ENK_002_3160_18";"3160";"3160";"Versie 3";"Opp <= 1 ha";4774,786533;"binnen";"Atlantisch";2;5;2;40;0
"AN_GIE_001_3130a_18";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";74816,938496;"binnen";"Atlantisch";6;8;1;75;0
"AN_GIE_001_3130a_18";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";74816,938496;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_GIE_001_3130n_18";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";74816,938496;"binnen";"Atlantisch";6;7;0;85,7142857142857;1
"AN_GIE_001_3130n_18";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";74816,938496;"binnen";"Atlantisch";3;6;2;50;0
"AN_GKH_001_3130n_18";"3130";"3130_na";"Versie 2.0";"1 ha < Opp <= 5 ha";40500,045918;"buiten";"Atlantisch";5;7;1;71,4285714285714;0
"AN_GKH_001_3130n_18";"3130";"3130_na";"Versie 3";"1 ha < Opp <= 5 ha";40500,045918;"buiten";"Atlantisch";3;6;2;50;0
"AN_GRD_003_3130n_17";"3130";"3130_na";"Versie 2.0";"Opp <= 1 ha";3032,858749;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_GRD_003_3130n_17";"3130";"3130_na";"Versie 3";"Opp <= 1 ha";3032,858749;"binnen";"Atlantisch";3;6;2;50;0
"AN_GRD_003_3140_17";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";3032,858749;"binnen";"Atlantisch";5;5;0;100;1
"AN_GRD_003_3140_17";"3140";"3140";"Versie 3";"Opp <= 1 ha";3032,858749;"binnen";"Atlantisch";1;5;4;20;0
"AN_GSV_002_3130n_16";"3130";"3130_na";"Versie 2.0";"1 ha < Opp <= 5 ha";14866,952404;"binnen";"Atlantisch";4;7;2;57,1428571428571;0
"AN_GSV_002_3130n_16";"3130";"3130_na";"Versie 3";"1 ha < Opp <= 5 ha";14866,952404;"binnen";"Atlantisch";1;6;4;16,6666666666667;0
"AN_GSV_003_3130a_17";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";519,351395;"binnen";"Atlantisch";5;8;1;62,5;0
"AN_GSV_003_3130a_17";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";519,351395;"binnen";"Atlantisch";3;6;2;50;0
"AN_GSV_004_3140_17";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";866,308739;"binnen";"Atlantisch";5;5;0;100;1
"AN_GSV_004_3140_17";"3140";"3140";"Versie 3";"Opp <= 1 ha";866,308739;"binnen";"Atlantisch";3;5;2;60;0
"AN_GSV_004_3150_17";"3150";"3150";"Versie 2.0";"Opp <= 1 ha";866,308739;"binnen";"Atlantisch";3;5;1;60;0
"AN_GSV_004_3150_17";"3150";"3150";"Versie 3";"Opp <= 1 ha";866,308739;"binnen";"Atlantisch";2;5;2;40;0
"AN_GSV_005_3160_17";"3160";"3160";"Versie 2.0";"1 ha < Opp <= 5 ha";13563,797699;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_GSV_005_3160_17";"3160";"3160";"Versie 3";"1 ha < Opp <= 5 ha";13563,797699;"binnen";"Atlantisch";3;5;1;60;0
"AN_GSV_006_3160_17";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";2328,183292;"binnen";"Atlantisch";5;6;1;83,3333333333333;0
"AN_GSV_006_3160_17";"3160";"3160";"Versie 3";"Opp <= 1 ha";2328,183292;"binnen";"Atlantisch";2;5;3;40;0
"AN_KAL_003_3160_16";"3160";"3160";"Versie 2.0";"5 ha < Opp < 50 ha";101274,056522;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_KAL_003_3160_16";"3160";"3160";"Versie 3";"5 ha < Opp < 50 ha";101274,056522;"binnen";"Atlantisch";3;5;1;60;0
"AN_KAL_004_3130a_16";"3130";"3130_aom";"Versie 2.0";"1 ha < Opp <= 5 ha";16361,627731;"binnen";"Atlantisch";3;8;4;37,5;0
"AN_KAL_004_3130a_16";"3130";"3130_aom";"Versie 3";"1 ha < Opp <= 5 ha";16361,627731;"binnen";"Atlantisch";1;6;4;16,6666666666667;0
"AN_KAL_006_3160_17";"3160";"3160";"Versie 2.0";"5 ha < Opp < 50 ha";417914,873924;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_KAL_006_3160_17";"3160";"3160";"Versie 3";"5 ha < Opp < 50 ha";417914,873924;"binnen";"Atlantisch";2;5;2;40;0
"AN_KAL_007_3160_16";"3160";"3160";"Versie 2.0";"1 ha < Opp <= 5 ha";37545,878696;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_KAL_007_3160_16";"3160";"3160";"Versie 3";"1 ha < Opp <= 5 ha";37545,878696;"binnen";"Atlantisch";2;5;2;40;0
"AN_KDN_001_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";2815,375767;"binnen";"Atlantisch";8;8;0;100;1
"AN_KDN_001_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";2815,375767;"binnen";"Atlantisch";4;6;2;66,6666666666667;0
"AN_KDN_002_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";2290,394165;"binnen";"Atlantisch";6;8;0;75;1
"AN_KDN_002_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";2290,394165;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_KDN_002_3140_16";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";2290,394165;"binnen";"Atlantisch";3;5;0;60;1
"AN_KDN_002_3140_16";"3140";"3140";"Versie 3";"Opp <= 1 ha";2290,394165;"binnen";"Atlantisch";3;5;1;60;0
"AN_KDN_003_3130a_17";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";1388,593571;"binnen";"Atlantisch";6;8;0;75;1
"AN_KDN_003_3130a_17";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";1388,593571;"binnen";"Atlantisch";3;6;2;50;0
"AN_KDN_003_3140_17";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";1388,593571;"binnen";"Atlantisch";4;5;0;80;1
"AN_KDN_003_3140_17";"3140";"3140";"Versie 3";"Opp <= 1 ha";1388,593571;"binnen";"Atlantisch";4;5;1;80;0
"AN_KSV_001_3160_18";"3160";"3160";"Versie 2.0";"1 ha < Opp <= 5 ha";17019,908485;"binnen";"Atlantisch";5;6;1;83,3333333333333;0
"AN_KSV_001_3160_18";"3160";"3160";"Versie 3";"1 ha < Opp <= 5 ha";17019,908485;"binnen";"Atlantisch";4;5;1;80;0
"AN_KSV_004_3160_17";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";1780,523212;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_KSV_004_3160_17";"3160";"3160";"Versie 3";"Opp <= 1 ha";1780,523212;"binnen";"Atlantisch";2;5;2;40;0
"AN_KSV_005_3160_17";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";3748,376251;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_KSV_005_3160_17";"3160";"3160";"Versie 3";"Opp <= 1 ha";3748,376251;"binnen";"Atlantisch";2;5;2;40;0
"AN_KVD_003_3130a_17";"3130";"3130_aom";"Versie 2.0";"1 ha < Opp <= 5 ha";26129,43882;"binnen";"Atlantisch";8;8;0;100;1
"AN_KVD_003_3130a_17";"3130";"3130_aom";"Versie 3";"1 ha < Opp <= 5 ha";26129,43882;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_KVD_003_3160_17";"3160";"3160";"Versie 2.0";"1 ha < Opp <= 5 ha";26129,43882;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_KVD_003_3160_17";"3160";"3160";"Versie 3";"1 ha < Opp <= 5 ha";26129,43882;"binnen";"Atlantisch";2;5;2;40;0
"AN_LDL_001_3160_16";"3160";"3160";"Versie 2.0";"1 ha < Opp <= 5 ha";21852,945663;"binnen";"Atlantisch";4;6;2;66,6666666666667;0
"AN_LDL_001_3160_16";"3160";"3160";"Versie 3";"1 ha < Opp <= 5 ha";21852,945663;"binnen";"Atlantisch";3;5;2;60;0
"AN_LDL_002_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";1806,009232;"binnen";"Atlantisch";8;8;0;100;1
"AN_LDL_002_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";1806,009232;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_LDL_003_3160_16";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";579,358772;"binnen";"Atlantisch";4;6;0;66,6666666666667;1
"AN_LDL_003_3160_16";"3160";"3160";"Versie 3";"Opp <= 1 ha";579,358772;"binnen";"Atlantisch";3;5;1;60;0
"AN_LDL_004_3130a_18";"3130";"3130_aom";"Versie 2.0";"1 ha < Opp <= 5 ha";10566,899303;"binnen";"Atlantisch";6;8;2;75;0
"AN_LDL_004_3130a_18";"3130";"3130_aom";"Versie 3";"1 ha < Opp <= 5 ha";10566,899303;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_LIL_001_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";780,394421;"binnen";"Atlantisch";4;8;1;50;0
"AN_LIL_001_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";780,394421;"binnen";"Atlantisch";3;6;2;50;0
"AN_MEC_002_3150_18";"3150";"3150";"Versie 2.0";"Opp <= 1 ha";61,166452;"buiten";"Atlantisch";2;5;1;40;0
"AN_MEC_002_3150_18";"3150";"3150";"Versie 3";"Opp <= 1 ha";61,166452;"buiten";"Atlantisch";3;5;1;60;0
"AN_MOE_001_3130a_17";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";524,855659;"binnen";"Atlantisch";5;8;2;62,5;0
"AN_MOE_001_3130a_17";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";524,855659;"binnen";"Atlantisch";1;6;4;16,6666666666667;0
"AN_MOE_001_3140_17";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";524,855659;"binnen";"Atlantisch";5;5;0;100;1
"AN_MOE_001_3140_17";"3140";"3140";"Versie 3";"Opp <= 1 ha";524,855659;"binnen";"Atlantisch";2;5;3;40;0
"AN_MOL_003_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";8644,193672;"binnen";"Atlantisch";7;8;1;87,5;0
"AN_MOL_003_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";8644,193672;"binnen";"Atlantisch";3;6;3;50;0
"AN_MOL_003_3140_16";"3140";"3140";"Versie 2.0";"Opp <= 1 ha";8644,193672;"binnen";"Atlantisch";5;5;0;100;1
"AN_MOL_003_3140_16";"3140";"3140";"Versie 3";"Opp <= 1 ha";8644,193672;"binnen";"Atlantisch";4;5;1;80;0
"AN_MOL_003_3160_16";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";8644,193672;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_MOL_003_3160_16";"3160";"3160";"Versie 3";"Opp <= 1 ha";8644,193672;"binnen";"Atlantisch";3;5;2;60;0
"AN_MOS_002_3160_18";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";120,661869;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_MOS_002_3160_18";"3160";"3160";"Versie 3";"Opp <= 1 ha";120,661869;"binnen";"Atlantisch";2;5;2;40;0
"AN_OLB_002_3130a_18";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";118,193451;"binnen";"Atlantisch";7;8;0;87,5;1
"AN_OLB_002_3130a_18";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";118,193451;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_RAV_002_3130a_17";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";2163,513268;"binnen";"Atlantisch";6;8;0;75;1
"AN_RAV_002_3130a_17";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";2163,513268;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_RAV_003_3130a_18";"3130";"3130_aom";"Versie 2.0";"1 ha < Opp <= 5 ha";11572,732212;"binnen";"Atlantisch";4;8;1;50;0
"AN_RAV_003_3130a_18";"3130";"3130_aom";"Versie 3";"1 ha < Opp <= 5 ha";11572,732212;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_RPT_002_3130a_16";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";142741,603577;"binnen";"Atlantisch";7;8;0;87,5;1
"AN_RPT_002_3130a_16";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";142741,603577;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_RPT_002_3130n_16";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";142741,603577;"binnen";"Atlantisch";6;7;0;85,7142857142857;1
"AN_RPT_002_3130n_16";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";142741,603577;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_RPT_003_3130a_17";"3130";"3130_aom";"Versie 2.0";"5 ha < Opp < 50 ha";51862,660225;"binnen";"Atlantisch";6;8;1;75;0
"AN_RPT_003_3130a_17";"3130";"3130_aom";"Versie 3";"5 ha < Opp < 50 ha";51862,660225;"binnen";"Atlantisch";2;6;3;33,3333333333333;0
"AN_RPT_003_3130n_17";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";51862,660225;"binnen";"Atlantisch";6;7;0;85,7142857142857;1
"AN_RPT_003_3130n_17";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";51862,660225;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_RPT_005_3140_18";"3150";"3150";"Versie 2.0";"Opp <= 1 ha";2540,804508;"binnen";"Atlantisch";4;5;0;80;1
"AN_RPT_005_3140_18";"3150";"3150";"Versie 3";"Opp <= 1 ha";2540,804508;"binnen";"Atlantisch";2;5;2;40;0
"AN_RPT_005_3150_18";"3150";"3150";"Versie 2.0";"Opp <= 1 ha";2540,804508;"binnen";"Atlantisch";5;5;0;100;1
"AN_RPT_005_3150_18";"3150";"3150";"Versie 3";"Opp <= 1 ha";2540,804508;"binnen";"Atlantisch";3;5;2;60;0
"AN_RVS_002_3130n_17";"3130";"3130_na";"Versie 2.0";"5 ha < Opp < 50 ha";152751,473328;"binnen";"Atlantisch";5;7;1;71,4285714285714;0
"AN_RVS_002_3130n_17";"3130";"3130_na";"Versie 3";"5 ha < Opp < 50 ha";152751,473328;"binnen";"Atlantisch";4;6;1;66,6666666666667;0
"AN_SEL_002_3150_17";"3150";"3150";"Versie 2.0";"Opp <= 1 ha";936,498775;"binnen";"Atlantisch";4;5;0;80;1
"AN_SEL_002_3150_17";"3150";"3150";"Versie 3";"Opp <= 1 ha";936,498775;"binnen";"Atlantisch";5;5;0;100;1
"AN_SNE_003_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";7285,933887;"binnen";"Atlantisch";6;8;1;75;0
"AN_SNE_003_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";7285,933887;"binnen";"Atlantisch";3;6;2;50;0
"AN_SNE_003_3160_16";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";7285,933887;"binnen";"Atlantisch";5;6;1;83,3333333333333;0
"AN_SNE_003_3160_16";"3160";"3160";"Versie 3";"Opp <= 1 ha";7285,933887;"binnen";"Atlantisch";4;5;1;80;0
"AN_SNE_004_3130a_16";"3130";"3130_aom";"Versie 2.0";"Opp <= 1 ha";497,445564;"binnen";"Atlantisch";4;8;2;50;0
"AN_SNE_004_3130a_16";"3130";"3130_aom";"Versie 3";"Opp <= 1 ha";497,445564;"binnen";"Atlantisch";3;6;2;50;0
"AN_SNE_004_3160_16";"3160";"3160";"Versie 2.0";"Opp <= 1 ha";497,445564;"binnen";"Atlantisch";5;6;0;83,3333333333333;1
"AN_SNE_004_3160_16";"3160";"3160";"Versie 3";"Opp <= 1 ha";497,445564;"binnen";"Atlantisch";2;5;2;40;0
