"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"ouderdomsstructuur Struikheide";"Binnen";35;3778,29675092845;91,79;76,9;97,41
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"ouderdomsstructuur Struikheide";"Buiten";2;750,788835110827;50;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"ouderdomsstructuur Struikheide";"Binnen & Buiten";37;4529,08558603927;18,07;9,13;32,61
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"ouderdomsstructuur Struikheide";"Binnen";35;3778,29675092845;21,66;10,83;38,62
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"ouderdomsstructuur Struikheide";"Buiten";2;750,788835110827;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"sleutelsoorten";"Binnen & Buiten";37;4529,08558603927;0;0;0
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"sleutelsoorten";"Binnen";35;3778,29675092845;0;0;0
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"sleutelsoorten";"Buiten";2;750,788835110827;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"sleutelsoorten";"Binnen & Buiten";37;4529,08558603927;29,03;17,51;44,09
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"sleutelsoorten";"Binnen";35;3778,29675092845;34,8;20,72;52,16
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"sleutelsoorten";"Buiten";2;750,788835110827;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"verbossing";"Binnen & Buiten";37;4529,08558603927;69,2;57,69;78,73
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"verbossing";"Binnen";35;3778,29675092845;82,95;66,48;92,27
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"verbossing";"Buiten";2;750,788835110827;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"verbossing";"Binnen & Buiten";37;4529,08558603927;57,01;43,63;69,43
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"verbossing";"Binnen";35;3778,29675092845;68,33;51;81,73
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"verbossing";"Buiten";2;750,788835110827;0;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"vergrassing/verruiging";"Binnen & Buiten";37;4529,08558603927;63,92;49,05;76,53
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"vergrassing/verruiging";"Binnen";35;3778,29675092845;56,75;39,78;72,28
"Comninatie cirkelplot en vegetatieplot";"Versie 2.0";"4030";"4030";"vergrassing/verruiging";"Buiten";2;750,788835110827;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"invasieve exoten";"Binnen & Buiten";37;4529,08558603927;94,95;81,75;98,75
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"invasieve exoten";"Binnen";35;3778,29675092845;93,95;78,46;98,51
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"invasieve exoten";"Buiten";2;750,788835110827;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"vergrassing";"Binnen & Buiten";37;4529,08558603927;61,4;46,67;74,3
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"vergrassing";"Binnen";35;3778,29675092845;53,73;36,98;69,67
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"vergrassing";"Buiten";2;750,788835110827;100;NA;NA
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"verruiging";"Binnen & Buiten";37;4529,08558603927;97,47;83,82;99,65
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"verruiging";"Binnen";35;3778,29675092845;96,97;80,98;99,59
"Comninatie cirkelplot en vegetatieplot";"Versie 3";"4030";"4030";"verruiging";"Buiten";2;750,788835110827;100;NA;NA
